species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude
Anser fabalis,Tibet,2016,discovery_date,2016,2016,0,95.83,29.27
Anser indicus,Chongqing,2006,discovery_date,2006,2007,1,106.43,29.84
Anser indicus,Henan,2019,discovery_date,2019,2019,0,111.13,34.77
Anthus godlewskii,Shaanxi,2005,discovery_date,2005,2007,2,107.98,33.53
Anthus gustavi,Anhui,2020,discovery_date,2020,2024,4,117.26,31.66
Anthus gustavi,Hubei,2014,discovery_date,2014,2015,1,112.72,30.44
Anthus gustavi,Xinjiang,2010,discovery_date,2010,2010,0,93.48,41.22
Anthus richardi,Tibet,2016,discovery_date,2016,2017,1,95.49,29.66
Anthus roseatus,Zhejiang,2020,discovery_date,2020,2021,1,119.9,30.25
Anthus trivialis,Jiangsu,2023,discovery_date,2023,2024,1,120.96,32.76
Aquila fasciata,Liaoning,2015,discovery_date,2015,2021,6,121.14,38.73
Aquila fasciata,Shaanxi,2020,discovery_date,2020,2020,0,110.01,32.85
Aquila heliaca,Hunan,2021,discovery_date,2021,2023,2,110.87,29.98
Aquila heliaca,Ningxia,2019,discovery_date,2019,2021,2,106.51,38.55
Ardea intermedia,Jilin,2020,discovery_date,2020,2023,3,125.37,43.96
Ardea intermedia,Liaoning,2004,discovery_date,2004,2006,2,124.19,39.97
Ardenna pacifica,Shanghai,2012,discovery_date,2012,2013,1,121.32,31.35
Ardenna pacifica,Zhejiang,2018,discovery_date,2018,2019,1,119.12,28.05
Artamus fuscus,Guizhou,2014,discovery_date,2014,2015,1,108.02,25.23
Artamus fuscus,Hunan,2022,discovery_date,2022,2025,3,111.56,25.57
Artamus fuscus,Jiangxi,2020,discovery_date,2020,2021,1,114.78,24.94
Asio flammeus,Guangxi,2004,discovery_date,2004,2005,1,107.08,22.14
Athene noctua,Zhejiang,2022,discovery_date,2022,2023,1,119.69,30.63
Aviceda jerdoni,Guangdong,2014,discovery_date,2014,2023,9,111.44,21.83
Aviceda jerdoni,Hunan,2017,discovery_date,2017,2018,1,110.88,29.98
Aviceda leuphotes,Gansu,2018,discovery_date,2018,2019,1,105.63,33.55
Aviceda leuphotes,Jiangsu,2006,discovery_date,2006,2010,4,119.07,32.25
Aviceda leuphotes,Ningxia,2002,discovery_date,2002,2024,22,106.31,35.35
Aviceda leuphotes,Shanxi,2018,discovery_date,2018,2023,5,111.38,35.01
Aythya nyroca,Fujian,2004,discovery_date,2004,2006,2,119.52,25.96
Aythya nyroca,Jilin,2010,discovery_date,2010,2012,2,123.88,46.01
Bombycilla japonica,Gansu,2019,discovery_date,2019,2019,0,104.16,35.94
Bombycilla japonica,Ningxia,2019,discovery_date,2019,2022,3,106.27,38.48
Bombycilla japonica,Qinghai,2012,publication_minus_median_lag,2014,2013,1,101.75,36.66
Branta canadensis,Heilongjiang,2023,discovery_date,2023,2024,1,124.39,47.03
Branta canadensis,Liaoning,2020,discovery_date,2020,2022,2,123.8,39.83
Branta canadensis,Tianjin,2014,discovery_date,2014,2017,3,117.43,39.26
Branta canadensis,Zhejiang,2016,discovery_date,2016,2019,3,120.71,30.2
Bubo nipalensis,Chongqing,2018,discovery_date,2018,2019,1,107.33,28.83
Bubo nipalensis,Guangxi,2013,discovery_date,2013,2014,1,106.88,22.35
Bucanetes mongolicus,Heilongjiang,2002,discovery_date,2002,2006,4,128.27,46.43
Bucanetes mongolicus,Sichuan,2014,discovery_date,2014,2015,1,102.75,30.06
Bucanetes mongolicus,Tibet,2012,discovery_date,2012,2014,2,79.71,31.71
Butastur indicus,Anhui,2011,discovery_date,2011,2013,2,116.82,31.47
Butastur indicus,Gansu,2022,discovery_date,2022,2024,2,105.5,32.98
Cacomantis merulinus,Shaanxi,2015,discovery_date,2015,2016,1,107.5,33.65
Calandrella brachydactyla,Hunan,2023,discovery_date,2023,2024,1,113.25,28.23
Calliope obscura,Hubei,2021,discovery_date,2021,2021,0,110.36,31.46
Caprimulgus macrurus,Guizhou,2018,discovery_date,2018,2019,1,106.8,26.54
Carpodacus roborowskii,Xinjiang,2015,discovery_date,2015,2016,1,90.55,36.65
Carpodacus vinaceus,Shandong,2020,discovery_date,2020,2022,2,117.1,36.26
Cecropis daurica,Chongqing,2021,discovery_date,2021,2025,4,108.79,30.69
Cecropis daurica,Xinjiang,2010,discovery_date,2010,2013,3,88.16,39.03
Centropus bengalensis,Liaoning,2012,discovery_date,2012,2022,10,124.02,41.87
Centropus bengalensis,Tibet,2022,discovery_date,2022,2024,2,95.34,29.34
Centropus bengalensis,Zhejiang,2002,discovery_date,2002,2003,1,120.27,30.18
Cephalopyrus flammiceps,Guangxi,2012,discovery_date,2012,2013,1,106.72,22.8
Cephalopyrus flammiceps,Hubei,2017,discovery_date,2017,2019,2,110.45,31.52
Certhia familiaris,Jiangsu,2024,discovery_date,2024,2024,0,120.69,33.37
Certhia himalayana,Qinghai,2013,discovery_date,2013,2014,1,101.05,32.7
Certhia tianquanensis,Shaanxi,2004,discovery_date,2004,2005,1,107.8,34.02
Ceryle rudis,Beijing,2005,discovery_date,2005,2011,6,116.23,40.27
Ceryle rudis,Liaoning,2022,discovery_date,2022,2025,3,123.52,41.98
Ceryle rudis,Shaanxi,2019,discovery_date,2019,2020,1,109.01,34.42
Cettia brunnifrons,Shaanxi,2018,discovery_date,2018,2018,0,107.8,33.99
Cettia castaneocoronata,Hubei,2020,discovery_date,2020,2021,1,110.29,31.46
Chalcophaps indica,Anhui,2023,discovery_date,2023,2023,0,117.91,31.64
Chalcophaps indica,Hunan,2017,discovery_date,2017,2018,1,111.59,25.95
Chalcophaps indica,Jiangxi,2004,discovery_date,2004,2011,7,114.38,24.49
Chalcophaps indica,Zhejiang,2018,discovery_date,2018,2019,1,120.14,27.52
Charadrius atrifrons,Guizhou,2024,discovery_date,2024,2024,0,106.63,26.63
Charadrius atrifrons,Yunnan,2024,discovery_date,2024,2025,1,103.32,27.44
Charadrius dealbatus,Jiangxi,2024,discovery_date,2024,2024,0,115.82,29.69
Charadrius placidus,Hainan,2004,discovery_date,2004,2006,2,109.51,18.25
Charadrius veredus,Jilin,2006,discovery_date,2006,2010,4,122.96,46.05
Charadrius veredus,Xinjiang,2010,discovery_date,2010,2010,0,90.8,43.9
Charadrius veredus,Yunnan,2016,discovery_date,2016,2024,8,101.82,24.03
Chlidonias leucopterus,Yunnan,2006,discovery_date,2006,2008,2,102.69,24.81
Chlidonias niger,Gansu,2021,discovery_date,2021,2022,1,100.44,38.98
Chlidonias niger,Hubei,2020,discovery_date,2020,2021,1,114.41,30.45
Chloris ambigua,Guangxi,2004,discovery_date,2004,2006,2,105.2,24.97
Chrysolophus pictus,Shanxi,2006,discovery_date,2006,2007,1,111.32,34.97
Ciconia boyciana,Gansu,2023,discovery_date,2023,2024,1,105.02,33.35
Ciconia boyciana,Ningxia,2017,discovery_date,2017,2018,1,105.72,37.25
Ciconia nigra,Tibet,2020,discovery_date,2020,2021,1,98.87,29.55
Circaetus gallicus,Guangxi,2015,discovery_date,2015,2021,6,109.05,21.45
Circaetus gallicus,Hunan,2022,discovery_date,2022,2023,1,110.87,29.97
Circaetus gallicus,Jiangsu,2024,discovery_date,2024,2025,1,118.95,32.5
Circus macrourus,Zhejiang,2021,discovery_date,2021,2023,2,120.63,27.86
Circus spilonotus,Xinjiang,2015,discovery_date,2015,2015,0,86.82,47.78
Cisticola exilis,Hainan,2007,discovery_date,2007,2007,0,109.11,19.01
Cisticola juncidis,Liaoning,2006,discovery_date,2006,2006,0,123.62,39.93
Clamator coromandus,Heilongjiang,2012,discovery_date,2012,2013,1,128.85,45.97
Clamator coromandus,Liaoning,2015,discovery_date,2015,2022,7,123.63,39.85
Clanga clanga,Gansu,2014,discovery_date,2014,2023,9,104.08,35.82
Columba oenas,Gansu,2021,discovery_date,2021,2022,1,98.44,39.91
Columba oenas,Inner Mongolia,2014,discovery_date,2014,2017,3,101.15,42.05
Copsychus saularis,Guangxi,2005,discovery_date,2005,2006,1,108.3,22.85
Coracias garrulus,Qinghai,2021,discovery_date,2021,2022,1,97.29,37.19
Coturnicops exquisitus,Yunnan,2003,discovery_date,2003,2004,1,100.35,25.3
Crex crex,Yunnan,2011,discovery_date,2011,2012,1,100.33,24.9
Crossoptilon mantchuricum,Henan,2022,discovery_date,2022,2024,2,112.2,35.22
Curruca curruca,Guizhou,2024,discovery_date,2024,2024,0,105.29,27.29
Curruca curruca,Hainan,2021,discovery_date,2021,2022,1,110.33,20.07
Cyanistes cyanus,Jilin,2019,discovery_date,2019,2023,4,125.35,43.83
Cyanoderma pyrrhops,Tibet,2010,discovery_date,2010,2010,0,85.98,28
Cygnus cygnus,Guangxi,2016,discovery_date,2016,2017,1,108.16,21.58
Cygnus olor,Jilin,2009,discovery_date,2009,2010,1,122.55,44.96
Cygnus olor,Shaanxi,2015,discovery_date,2015,2016,1,107.66,34.31
Cyornis glaucicomans,Henan,2019,discovery_date,2019,2021,2,114.4,31.81
Cyornis glaucicomans,Jiangsu,2023,discovery_date,2023,2024,1,120.24,31.51
Cyornis glaucicomans,Shanxi,2019,discovery_date,2019,2020,1,111.9,35.38
Cyornis hainanus,Sichuan,2023,discovery_date,2023,2023,0,104.87,28.99
Cyornis rubeculoides,Hunan,2009,publication_minus_median_lag,2011,2010,1,110.67,30.07
Delichon dasypus,Henan,2016,discovery_date,2016,2018,2,111.88,33.48
Dendrocitta formosae,Shanghai,2012,discovery_date,2012,2018,6,121.97,30.93
Dendrocopos hyperythrus,Qinghai,2013,discovery_date,2013,2015,2,101.03,32.68
Dendrocygna javanica,Guizhou,2020,discovery_date,2020,2021,1,106.65,26.51
Dicaeum cruentatum,Jiangxi,2008,discovery_date,2008,2011,3,114.38,24.49
Dicaeum ignipectus,Henan,2013,discovery_date,2013,2016,3,111.64,33.76
Dicaeum minullum,Jiangxi,2003,discovery_date,2003,2011,8,114.38,24.49
Dicrurus annectens,Tibet,2014,discovery_date,2014,2015,1,94.85,30.35
Dicrurus hottentottus,Heilongjiang,2009,discovery_date,2009,2010,1,126.66,45.74
Dicrurus hottentottus,Qinghai,2013,discovery_date,2013,2015,2,100.81,36.63
Dicrurus remifer,Tibet,2019,discovery_date,2019,2019,0,95.34,29.3
Egretta eulophotes,Tianjin,2004,discovery_date,2004,2006,2,117.81,39.26
Egretta garzetta,Tibet,2013,discovery_date,2013,2015,2,97.82,30.17
Elachura formosa,Hubei,2017,discovery_date,2017,2019,2,113.85,29.32
Elachura formosa,Tibet,2019,discovery_date,2019,2019,0,95.28,29.32
Elanus caeruleus,Beijing,2013,discovery_date,2013,2013,0,116.17,39.99
Elanus caeruleus,Gansu,2022,discovery_date,2022,2025,3,106.71,35.55
Elanus caeruleus,Henan,2013,discovery_date,2013,2014,1,113.74,33.54
Elanus caeruleus,Inner Mongolia,2022,discovery_date,2022,2023,1,106.78,39.73
Elanus caeruleus,Liaoning,2019,discovery_date,2019,2021,2,121.14,38.73
Elanus caeruleus,Shaanxi,2016,discovery_date,2016,2016,0,109.06,34.44
Elanus caeruleus,Sichuan,2015,discovery_date,2015,2016,1,101.89,26.47
Elanus caeruleus,Tianjin,2004,discovery_date,2004,2006,2,117.11,39.17
Emberiza buchanani,Qinghai,2014,discovery_date,2014,2017,3,90.85,35.25
Emberiza citrinella,Qinghai,2014,discovery_date,2014,2017,3,90.86,35.26
Emberiza elegans,Heilongjiang,2021,discovery_date,2021,2025,4,128.57,46.13
Emberiza elegans,Qinghai,2014,discovery_date,2014,2017,3,102.67,35.8
Emberiza elegans,Tibet,2023,discovery_date,2023,2024,1,98.29,28.56
Emberiza godlewskii,Heilongjiang,2015,discovery_date,2015,2016,1,125.25,49.09
Emberiza godlewskii,Hunan,2009,publication_minus_median_lag,2012,2010,1,110.72,30.03
Emberiza hortulana,Inner Mongolia,2010,discovery_date,2010,2023,13,108.57,38.98
Emberiza leucocephalos,Anhui,2012,discovery_date,2012,2013,1,115.6,33.25
Emberiza pallasi,Guizhou,2014,discovery_date,2014,2014,0,104.25,26.85
Emberiza pusilla,Tibet,2013,discovery_date,2013,2014,1,97.83,29.69
Emberiza rustica,Guizhou,2023,discovery_date,2023,2024,1,106.63,26.64
Emberiza siemsseni,Jiangsu,2023,discovery_date,2023,2024,1,118.83,31.64
Emberiza siemsseni,Jiangxi,2011,discovery_date,2011,2013,2,116.25,28.75
Emberiza siemsseni,Qinghai,2014,discovery_date,2014,2017,3,101.78,36.6
Emberiza yessoensis,Anhui,2016,discovery_date,2016,2017,1,117.44,32.29
Emberiza yessoensis,Hubei,2014,discovery_date,2014,2014,0,112.36,30.37
Emberiza yessoensis,Hunan,2014,discovery_date,2014,2016,2,112.9,28.32
Enicurus leschenaulti,Inner Mongolia,2014,discovery_date,2014,2015,1,108.85,38.2
Enicurus maculatus,Guizhou,2020,discovery_date,2020,2024,4,105.93,28.33
Enicurus maculatus,Zhejiang,2018,discovery_date,2018,2018,0,119.67,27.71
Enicurus schistaceus,Anhui,2020,discovery_date,2020,2024,4,118.2,29.87
Erpornis zantholeuca,Tibet,2019,discovery_date,2019,2019,0,95.34,29.3
Eudynamys scolopaceus,Liaoning,2017,discovery_date,2017,2018,1,120.38,40.55
Eudynamys scolopaceus,Qinghai,2023,discovery_date,2023,2024,1,90.86,38.25
Eudynamys scolopaceus,Shanxi,2019,discovery_date,2019,2020,1,111.92,35.42
Eudynamys scolopaceus,Tibet,2015,discovery_date,2015,2016,1,86.6,30.53
Eumyias thalassinus,Gansu,2019,discovery_date,2019,2020,1,105.38,32.87
Eumyias thalassinus,Hainan,2018,discovery_date,2018,2019,1,109.68,18.86
Eumyias thalassinus,Inner Mongolia,2019,discovery_date,2019,2023,4,105.81,38.66
Eumyias thalassinus,Jiangsu,2016,discovery_date,2016,2019,3,120.4,31.99
Eumyias thalassinus,Qinghai,2017,discovery_date,2017,2019,2,102.68,35.81
Eumyias thalassinus,Tianjin,2018,discovery_date,2018,2018,0,117.47,38.71
Falco cherrug,Yunnan,2016,discovery_date,2016,2018,2,99.92,26.47
Falco severus,Tibet,2013,discovery_date,2013,2014,1,95.28,29.32
Ficedula albicilla,Tibet,2016,discovery_date,2016,2017,1,95.16,29.25
Ficedula elisae,Hunan,2019,discovery_date,2019,2021,2,113,28.21
Ficedula elisae,Jiangxi,2010,discovery_date,2010,2012,2,114.16,26.57
Ficedula elisae,Shanghai,2013,discovery_date,2013,2018,5,121.48,31.72
Ficedula erithacus,Guizhou,2021,discovery_date,2021,2024,3,104.9,25.09
Ficedula erithacus,Hebei,2015,discovery_date,2015,2016,1,113.83,38.75
Ficedula hyperythra,Chongqing,2007,discovery_date,2007,2009,2,108.89,29.32
Ficedula hyperythra,Hunan,2017,discovery_date,2017,2022,5,110.57,30.05
Ficedula hyperythra,Shaanxi,2006,discovery_date,2006,2007,1,107.98,33.53
Ficedula mugimaki,Guizhou,2017,discovery_date,2017,2019,2,106.68,26.54
Ficedula strophiata,Beijing,2015,discovery_date,2015,2017,2,116.4,39.95
Ficedula superciliaris,Hubei,2019,discovery_date,2019,2020,1,110.45,31.72
Ficedula tricolor,Hunan,2012,discovery_date,2012,2014,2,110.65,30.07
Ficedula tricolor,Inner Mongolia,2007,discovery_date,2007,2009,2,118.72,44.22
Ficedula tricolor,Qinghai,2017,discovery_date,2017,2019,2,102.68,35.8
Fringilla coelebs,Gansu,2020,discovery_date,2020,2024,4,98.17,39.07
Fringilla coelebs,Hubei,2021,discovery_date,2021,2025,4,110.49,29.9
Fringilla coelebs,Hunan,2017,discovery_date,2017,2023,6,111.18,29.5
Fringilla coelebs,Jiangsu,2023,discovery_date,2023,2024,1,120.24,31.51
Fringilla coelebs,Qinghai,2015,discovery_date,2015,2017,2,102.23,37.16
Fringilla coelebs,Yunnan,2016,discovery_date,2016,2017,1,98.74,25.27
Fringilla montifringilla,Ningxia,2010,discovery_date,2010,2011,1,106.63,38.55
Galerida cristata,Heilongjiang,2006,discovery_date,2006,2010,4,124.65,47.02
Gallicrex cinerea,Gansu,2017,discovery_date,2017,2020,3,108.53,36.08
Garrulax monileger,Hubei,2015,discovery_date,2015,2016,1,110.48,31.32
Garrulax monileger,Jiangsu,2007,discovery_date,2007,2009,2,118.84,32.07
Garrulax monileger,Shaanxi,2020,discovery_date,2020,2020,0,108.71,32.67
Gavia arctica,Liaoning,2022,discovery_date,2022,2023,1,123.33,41.83
Gavia arctica,Shaanxi,2017,discovery_date,2017,2018,1,109.15,34.43
Gavia arctica,Yunnan,2021,discovery_date,2021,2023,2,99.76,27.59
Gelochelidon nilotica,Hubei,2018,discovery_date,2018,2021,3,114.36,30.65
Gelochelidon nilotica,Hunan,2020,discovery_date,2020,2020,0,113.24,28.18
Geokichla citrina,Chongqing,2008,discovery_date,2008,2009,1,109,30.67
Geokichla citrina,Jiangxi,2017,discovery_date,2017,2018,1,117.66,27.84
Glaucidium cuculoides,Beijing,2006,discovery_date,2006,2008,2,116.37,39.91
Gorsachius melanolophus,Jiangsu,2019,discovery_date,2019,2019,0,119.37,34.75
Gorsachius melanolophus,Shandong,2018,discovery_date,2018,2019,1,118.45,36.68
Gracupica nigricollis,Anhui,2007,discovery_date,2007,2010,3,117.22,30.37
Gracupica nigricollis,Chongqing,2006,discovery_date,2006,2006,0,106.5,29.51
Gracupica nigricollis,Hainan,2005,discovery_date,2005,2006,1,110.59,19.97
Gracupica nigricollis,Shandong,2021,discovery_date,2021,2022,1,122.69,37.4
Grandala coelicolor,Chongqing,2007,discovery_date,2007,2009,2,107.57,29.27
Grus japonensis,Fujian,2024,discovery_date,2024,2024,0,120.17,26.97
Grus japonensis,Sichuan,2023,discovery_date,2023,2024,1,105.48,32.67
Grus monacha,Ningxia,2021,discovery_date,2021,2021,0,105.91,37.76
Grus nigricollis,Inner Mongolia,2023,discovery_date,2023,2023,0,110.34,40.49
Gypaetus barbatus,Chongqing,2007,discovery_date,2007,2010,3,107.86,28.98
Gypaetus barbatus,Shaanxi,2023,discovery_date,2023,2024,1,109.94,36.87
Gyps himalayensis,Guangxi,2013,discovery_date,2013,2013,0,109.08,21.44
Gyps himalayensis,Liaoning,2002,discovery_date,2002,2003,1,121.02,42.05
Halcyon coromanda,Shandong,2007,discovery_date,2007,2008,1,119.55,35.47
Halcyon pileata,Tibet,2017,discovery_date,2017,2018,1,97.49,28.82
Halcyon smyrnensis,Jiangsu,2006,discovery_date,2006,2010,4,118.62,32.12
Halcyon smyrnensis,Shandong,2022,discovery_date,2022,2024,2,119.71,35.62
Halcyon smyrnensis,Shanghai,2009,discovery_date,2009,2009,0,121,31.07
Halcyon smyrnensis,Tibet,2013,discovery_date,2013,2014,1,95.32,29.33
Haliaeetus leucoryphus,Yunnan,2009,discovery_date,2009,2010,1,99.95,27.91
Harpactes wardi,Tibet,2019,discovery_date,2019,2020,1,89.01,27.31
Helopsaltes certhiola,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33
Helopsaltes pryeri,Shanghai,2004,discovery_date,2004,2006,2,121.4,31.62
Hemiprocne coronata,Inner Mongolia,2011,discovery_date,2011,2018,7,120.72,51.28
Hemitesia pallidipes,Hunan,2023,discovery_date,2023,2024,1,111.48,24.84
Hemixos castanonotus,Anhui,2007,discovery_date,2007,2010,3,117.45,30
Hemixos castanonotus,Shandong,2020,discovery_date,2020,2023,3,119.39,35.68
Heterophasia desgodinsi,Hubei,2011,discovery_date,2011,2012,1,110.13,30.45
Heterophasia desgodinsi,Shaanxi,2011,discovery_date,2011,2012,1,109.26,32.09
Heteroxenicus stellatus,Sichuan,2015,discovery_date,2015,2018,3,101.99,29.57
Hieraaetus pennatus,Gansu,2013,discovery_date,2013,2014,1,94.12,39.88
Hieraaetus pennatus,Hainan,2022,discovery_date,2022,2022,0,110.35,18.67
Hieraaetus pennatus,Henan,2011,discovery_date,2011,2012,1,112.38,34.6
Hieraaetus pennatus,Hunan,2020,discovery_date,2020,2021,1,110.87,29.97
Hieraaetus pennatus,Qinghai,2013,discovery_date,2013,2017,4,96.37,37.43
Hieraaetus pennatus,Shaanxi,2020,discovery_date,2020,2021,1,109.06,34.31
Hieraaetus pennatus,Tibet,2012,discovery_date,2012,2016,4,85.35,28.35
Hierococcyx nisicolor,Shaanxi,2014,discovery_date,2014,2016,2,107.5,33.65
Hirundapus caudacutus,Hunan,2013,discovery_date,2013,2014,1,110.65,30.07
Hirundo rustica,Hainan,2018,discovery_date,2018,2022,4,112.34,16.84
Histrionicus histrionicus,Beijing,2017,discovery_date,2017,2017,0,116.4,39.98
Histrionicus histrionicus,Inner Mongolia,2014,discovery_date,2014,2014,0,118.72,44.22
Histrionicus histrionicus,Jiangsu,2022,discovery_date,2022,2022,0,120.85,33.12
Hydrocoloeus minutus,Zhejiang,2017,discovery_date,2017,2017,0,119.95,28.48
Hydrophasianus chirurgus,Gansu,2022,discovery_date,2022,2023,1,107.92,35.5
Hydrophasianus chirurgus,Liaoning,2011,discovery_date,2011,2024,13,122.92,41.74
Hydrophasianus chirurgus,Tianjin,2014,discovery_date,2014,2015,1,117.32,39.12
Hydrophasianus chirurgus,Yunnan,2024,discovery_date,2024,2025,1,98.53,24.4
Hydroprogne caspia,Hubei,2020,discovery_date,2020,2021,1,114.47,30.71
Hydroprogne caspia,Ningxia,2020,discovery_date,2020,2024,4,105.12,37.58
Hypothymis azurea,Jiangsu,2019,discovery_date,2019,2020,1,120.85,33.07
Hypsipetes leucocephalus,Gansu,2020,discovery_date,2020,2021,1,105.75,32.99
Ianthocincla lunulata,Ningxia,2017,discovery_date,2017,2018,1,106.33,35.38
Ibidorhyncha struthersii,Anhui,2021,discovery_date,2021,2023,2,116.49,30.66
Ictinaetus malaiensis,Anhui,2005,discovery_date,2005,2010,5,117.45,30
Ictinaetus malaiensis,Shandong,2021,discovery_date,2021,2023,2,118.62,36.2
Iduna caligata,Zhejiang,2021,discovery_date,2021,2022,1,121.53,28.62
Indicator xanthonotus,Sichuan,2021,discovery_date,2021,2022,1,103.02,29.17
Ixobrychus cinnamomeus,Qinghai,2018,discovery_date,2018,2019,1,101.89,36.56
Ixobrychus eurhythmus,Shaanxi,2014,discovery_date,2014,2015,1,108.73,34.42
Ixobrychus minutus,Gansu,2019,discovery_date,2019,2020,1,98.55,39.73
Ixos mcclellandii,Gansu,2016,discovery_date,2016,2016,0,105.57,32.94
Ixos mcclellandii,Ningxia,2021,discovery_date,2021,2024,3,106.33,35.37
Ketupa flavipes,Shanxi,2024,discovery_date,2024,2024,0,111.86,35.59
Lalage melaschistos,Liaoning,2012,discovery_date,2012,2014,2,124.21,39.88
Lanius borealis,Tibet,2020,discovery_date,2020,2022,2,97.84,29.67
Lanius collurioides,Sichuan,2014,discovery_date,2014,2017,3,101.53,26.65
Lanius isabellinus,Zhejiang,2022,discovery_date,2022,2022,0,121.54,28.34
Lanius schach,Beijing,2009,discovery_date,2009,2011,2,115.91,40.52
Lanius schach,Jiangxi,2008,discovery_date,2008,2009,1,114.4,26.25
Lanius sphenocercus,Yunnan,2017,discovery_date,2017,2019,2,103.22,24.6
Lanius tephronotus,Hubei,2011,discovery_date,2011,2013,2,110.13,31.45
Lanius tephronotus,Xinjiang,2004,discovery_date,2004,2004,0,75.4,37.37
Larus crassirostris,Hainan,2006,discovery_date,2006,2006,0,109.69,19.91
Larvivora brunnea,Jiangsu,2019,discovery_date,2019,2020,1,120.85,33.07
