clim_change_z,effort_z,clim_var_z,log_completeness,yr,province_f,mig_f,p_hazard,p_rf,in_support
-1.1,0,0,-0.0108587433348759,11,Anhui,Resident,0.00170341609410407,0.00107190408655519,TRUE
-1,0,0,-0.0108587433348759,11,Anhui,Resident,0.00175733329512484,0.00120551425922786,TRUE
-0.9,0,0,-0.0108587433348759,11,Anhui,Resident,0.00181295555461269,0.00127220539970755,TRUE
-0.8,0,0,-0.0108587433348759,11,Anhui,Resident,0.00187033669299397,0.00188507691221045,TRUE
-0.7,0,0,-0.0108587433348759,11,Anhui,Resident,0.00192953222312631,0.00163122312710667,TRUE
-0.6,0,0,-0.0108587433348759,11,Anhui,Resident,0.00199059940310398,0.00147497312710667,TRUE
-0.5,0,0,-0.0108587433348759,11,Anhui,Resident,0.00205359729068655,0.00129640169853524,TRUE
-0.4,0,0,-0.0108587433348759,11,Anhui,Resident,0.00211858679939458,0.00143529058742413,TRUE
-0.3,0,0,-0.0108587433348759,11,Anhui,Resident,0.00218563075632439,0.0012567191588527,TRUE
-0.2,0,0,-0.0108587433348759,11,Anhui,Resident,0.00225479396173212,0.0012567191588527,TRUE
-0.0999999999999996,0,0,-0.0108587433348759,11,Anhui,Resident,0.00232614325043801,0.00240822727731115,TRUE
0,0,0,-0.0108587433348759,11,Anhui,Resident,0.00239974755510597,0.00362469500385388,TRUE
0.1,0,0,-0.0108587433348759,11,Anhui,Resident,0.00247567797145176,0.00405368615159502,TRUE
0.2,0,0,-0.0108587433348759,11,Anhui,Resident,0.00255400782543691,0.00560246538775252,TRUE
0.3,0,0,-0.0108587433348759,11,Anhui,Resident,0.00263481274250632,0.00566621651235891,TRUE
0.4,0,0,-0.0108587433348759,11,Anhui,Resident,0.00271817071892833,0.00653656669866117,TRUE
0.5,0,0,-0.0108587433348759,11,Anhui,Resident,0.00280416219529744,0.00507823336532784,TRUE
0.6,0,0,-0.0108587433348759,11,Anhui,Resident,0.00289287013226436,0.00511844315553762,TRUE
0.7,0,0,-0.0108587433348759,11,Anhui,Resident,0.00298438008855451,0.00633926418964877,TRUE
0.8,0,0,-0.0108587433348759,11,Anhui,Resident,0.00307878030134223,0.0138680389474476,TRUE
0.9,0,0,-0.0108587433348759,11,Anhui,Resident,0.00317616176904745,0.00770127677554863,TRUE
1,0,0,-0.0108587433348759,11,Anhui,Resident,0.00327661833662374,0.00641356638211623,TRUE
1.1,0,0,-0.0108587433348759,11,Anhui,Resident,0.00338024678340787,0.0059677299439023,TRUE
1.2,0,0,-0.0108587433348759,11,Anhui,Resident,0.00348714691360408,0.00698438057614652,TRUE
1.3,0,0,-0.0108587433348759,11,Anhui,Resident,0.00359742164947507,0.00547460961310543,TRUE
1.4,0,0,-0.0108587433348759,11,Anhui,Resident,0.00371117712731806,0.00647842122546968,TRUE
1.5,0,0,-0.0108587433348759,11,Anhui,Resident,0.00382852279630086,0.00502094894273126,TRUE
1.6,0,0,-0.0108587433348759,11,Anhui,Resident,0.00394957152023867,0.00525236095531218,TRUE
1.7,0,0,-0.0108587433348759,11,Anhui,Resident,0.00407443968239174,0.00537428094423798,TRUE
