species,year,val
Indicator xanthonotus,1970,5.10103845596314
Ixobrychus cinnamomeus,1970,5.75179243087769
Ixobrychus eurhythmus,1970,4.3337254524231
Ixobrychus minutus,1970,2.80488586425781
Ixos mcclellandii,1970,6.34257650375366
Ketupa flavipes,1970,6.1855034828186
Lalage melaschistos,1970,5.60235595703125
Lanius borealis,1970,2.16843247413635
Lanius collurioides,1970,6.63139724731445
Lanius isabellinus,1970,2.95127654075623
Lanius schach,1970,5.49456262588501
Lanius sphenocercus,1970,2.86860799789429
Lanius tephronotus,1970,3.07323980331421
Larus crassirostris,1970,5.77892065048218
Larvivora brunnea,1970,3.68434166908264
Larvivora cyane,1970,2.18992233276367
Leptopoecile elegans,1970,2.21360683441162
Leptoptilos javanicus,1970,6.25335502624512
Limnodromus semipalmatus,1970,2.07745695114136
Limosa limosa,1970,2.15670132637024
Linaria cannabina,1970,2.79136991500855
Locustella davidi,1970,2.19157552719116
Locustella mandelli,1970,6.18067836761475
Lonchura striata,1970,6.44025945663452
Lophotriorchis kienerii,1970,7.41060209274292
Lophura leucomelanos,1970,4.6490740776062
Lophura nycthemera,1970,6.59491348266602
Loxia curvirostra,1970,2.32083010673523
Macropygia unchall,1970,6.00842332839966
Mareca falcata,1970,1.85331690311432
Megaceryle lugubris,1970,5.71222019195557
Melanitta fusca,1970,2.03938055038452
Melanitta stejnegeri,1970,0.863687574863434
Melanochlora sultanea,1970,6.52719116210938
Mergus serrator,1970,2.27423000335693
Merops philippinus,1970,6.55226850509644
Mixornis gularis,1970,6.16059446334839
Monticola gularis,1970,2.54055213928223
Monticola rufiventris,1970,5.76896905899048
Monticola solitarius,1970,4.65217542648315
Motacilla citreola,1970,2.48676824569702
Moupinia poecilotis,1970,3.47816252708435
Muscicapa dauurica,1970,2.36086440086365
Muscicapa ferruginea,1970,5.11899948120117
Muscicapa muttui,1970,6.12766265869141
Mycerobas affinis,1970,3.16799211502075
Mycerobas carnipes,1970,2.54255723953247
Myiomela leucura,1970,5.71046686172485
Myophonus caeruleus,1970,5.05014610290527
Netta rufina,1970,3.00586771965027
Niltava davidi,1970,6.05221462249756
Niltava grandis,1970,5.88716888427734
Niltava macgrigoriae,1970,6.25817441940308
