unit_id,year,n_checklist,n_loc
511100,2016,13,7
511100,2014,51,22
511100,2010,23,10
511100,2008,34,21
511100,2003,4,4
511100,2002,75,12
511100,2006,20,6
511100,2021,32,16
511100,2009,6,3
510100,2014,116,58
511400,2013,1,1
511100,2022,34,11
511100,2020,18,9
511100,2004,12,5
532500,2015,5,2
532500,2013,2,2
510100,2018,286,117
532500,2018,11,3
510100,2016,213,84
510100,2015,130,60
510100,2012,55,35
510100,2004,11,5
510100,2002,36,18
510100,2011,21,17
510100,2006,14,9
510100,2005,14,10
510100,2007,21,12
620100,2023,117,39
510100,2008,20,16
530300,2014,1,1
510100,2010,26,15
510100,2003,3,3
510100,2009,16,11
620100,2019,61,23
620100,2022,30,14
620100,2021,18,10
532500,2016,3,1
532500,2022,2,1
620100,2016,12,11
511400,2015,2,1
511500,2015,4,3
620100,2011,9,4
621100,2019,1,1
623000,2008,1,1
621100,2017,1,1
511500,2014,18,7
622900,2018,1,1
622900,2012,6,1
511100,2011,3,2
620100,2018,7,4
511500,2018,16,6
620100,2015,7,5
620100,2010,2,2
620100,2009,4,4
620100,2017,9,7
620100,2007,1,1
621100,2016,2,1
620100,2002,1,1
620100,2013,11,6
621100,2023,6,3
532600,2017,4,4
510700,2021,130,50
510700,2023,27,22
621100,2014,1,1
620100,2014,6,4
520500,2015,4,4
511500,2022,14,6
511500,2021,14,11
511500,2023,18,7
532500,2012,1,1
511500,2020,43,10
510700,2020,66,35
511500,2003,2,2
510700,2013,9,3
510700,2012,4,2
510700,2015,18,15
510700,2018,109,73
511500,2013,13,9
511500,2005,5,2
511500,2006,4,1
511500,2011,8,1
511500,2017,10,10
511500,2012,1,1
532600,2019,5,3
510700,2017,50,32
510600,2010,4,3
510600,2019,14,4
530300,2009,1,1
510700,2002,9,4
620400,2007,1,1
532600,2020,8,8
532600,2021,30,12
532600,2023,8,7
510600,2023,39,10
510600,2021,32,13
510600,2020,41,15
510700,2019,51,33
510700,2006,3,1
510700,2007,4,2
510700,2010,3,3
510600,2018,18,9
520500,2022,16,9
510600,2017,12,8
510600,2022,33,15
520500,2019,7,3
520500,2023,6,4
520500,2016,6,1
520500,2018,6,2
520500,2002,1,1
520500,2009,1,1
520500,2017,1,1
520500,2007,2,2
520500,2014,1,1
520500,2010,3,2
510600,2006,1,1
510600,2016,17,4
510600,2011,1,1
510600,2015,5,4
510600,2002,1,1
510600,2007,3,2
510600,2008,1,1
520500,2008,2,1
520500,2013,1,1
532600,2006,4,2
510700,2016,7,7
530300,2004,2,1
520500,2012,1,1
510300,2020,4,3
510700,2014,6,5
621200,2023,38,19
152900,2018,43,14
152900,2019,25,13
621200,2013,1,1
510600,2013,2,2
621200,2022,8,6
520200,2019,26,26
640500,2018,11,3
520200,2023,1,1
520200,2017,1,1
621100,2013,1,1
520200,2018,5,5
512000,2021,8,3
512000,2020,8,4
512000,2022,9,5
512000,2017,2,2
510800,2018,102,32
510800,2023,66,17
532600,2018,7,7
510300,2017,3,3
510800,2015,35,6
510800,2017,23,13
510800,2020,62,12
510800,2021,77,21
510800,2016,41,14
510800,2022,27,4
510800,2019,82,16
510700,2022,5,4
510800,2014,15,4
510300,2022,2,1
510300,2023,10,7
510800,2007,3,1
510800,2013,17,4
510800,2011,3,1
510800,2012,4,1
522300,2023,3,3
532600,2022,1,1
640500,2021,14,3
532600,2013,1,1
510300,2016,1,1
520200,2022,1,1
640500,2007,4,2
511000,2022,1,1
511000,2017,3,3
451000,2019,59,19
451000,2022,275,24
522300,2004,2,2
640500,2019,6,4
522300,2020,5,4
522300,2022,2,1
152900,2020,10,10
511000,2016,5,4
152900,2006,2,1
640500,2022,4,4
511000,2023,2,2
621200,2014,1,1
532600,2016,1,1
511000,2021,5,4
511000,2011,1,1
640500,2013,3,3
640500,2017,1,1
640500,2020,1,1
640500,2015,5,5
451000,2021,446,59
511000,2020,6,4
511000,2019,4,3
640500,2014,2,2
510900,2019,6,6
152900,2015,5,2
511000,2018,1,1
510900,2017,5,4
510900,2018,6,6
620500,2021,7,4
150800,2017,9,8
510500,2019,1,1
522300,2017,1,1
5e+05,2017,118,105
510900,2023,1,1
640400,2015,1,1
451000,2023,491,83
610700,2017,29,19
5e+05,2022,115,48
510900,2013,2,1
5e+05,2023,187,101
522300,2012,1,1
152900,2012,4,2
520300,2021,31,16
520400,2021,7,3
520400,2014,4,2
520400,2019,5,5
520400,2013,1,1
520400,2016,5,2
520400,2018,4,3
520400,2012,5,3
520400,2023,5,3
520400,2020,8,7
520400,2022,12,8
520300,2019,20,11
520300,2018,27,20
520300,2015,2,2
5e+05,2015,34,26
451000,2014,65,12
5e+05,2013,8,8
620500,2006,2,2
5e+05,2018,70,50
522300,2019,5,5
510500,2022,1,1
640100,2019,43,17
5e+05,2020,74,30
510800,2002,2,1
522300,2016,3,3
520300,2017,7,7
620500,2023,17,7
520300,2020,2,2
640100,2023,40,21
640100,2022,32,19
640100,2007,3,3
640100,2018,25,17
640100,2015,5,4
640100,2021,30,19
640100,2020,21,16
640100,2002,1,1
640100,2017,8,7
640300,2011,2,2
520400,2004,3,1
511300,2017,5,5
511300,2015,3,2
451000,2006,2,2
520300,2022,5,4
520300,2023,63,21
640300,2007,1,1
640300,2021,1,1
640200,2020,3,1
640200,2023,9,7
640100,2012,2,1
620500,2020,2,1
511300,2019,2,2
520400,2017,1,1
511300,2006,1,1
640300,2013,4,4
640200,2012,1,1
640200,2011,1,1
640300,2022,1,1
640100,2014,3,2
640400,2021,18,17
640400,2023,6,6
5e+05,2021,94,41
610700,2007,35,18
640100,2016,1,1
640400,2019,14,3
5e+05,2019,95,56
610700,2018,67,44
520100,2019,87,27
451000,2020,49,15
620800,2023,3,3
640300,2014,1,1
510500,2013,1,1
5e+05,2016,37,26
520400,2015,1,1
640300,2015,2,2
640200,2022,3,2
640200,2017,3,2
640200,2021,6,3
640200,2018,1,1
640200,2019,1,1
640100,2011,1,1
520100,2018,69,35
451000,2002,1,1
451000,2017,24,9
451000,2012,1,1
451000,2015,47,15
610700,2023,87,49
520300,2014,10,4
5e+05,2008,17,7
520100,2015,8,6
520100,2017,10,9
520100,2016,3,3
520100,2020,91,47
5e+05,2006,9,4
640400,2020,1,1
451000,2016,32,8
451000,2013,2,2
520100,2021,92,51
520100,2022,137,44
520100,2023,90,43
5e+05,2010,20,11
5e+05,2014,11,8
5e+05,2011,8,8
5e+05,2007,9,7
150800,2023,5,2
5e+05,2002,19,13
150600,2021,4,4
511300,2022,4,4
511300,2021,3,2
511300,2023,9,7
5e+05,2012,2,2
5e+05,2009,5,3
522700,2020,9,7
451400,2021,95,36
451400,2019,262,85
451400,2018,80,22
451400,2020,63,36
620800,2020,3,3
451400,2023,228,67
451400,2022,41,13
451000,2018,21,6
5e+05,2004,1,1
520100,2008,8,2
520100,2012,3,2
522700,2015,7,4
522700,2018,5,4
520100,2004,7,2
451400,2013,14,9
520100,2009,1,1
520100,2014,2,2
520100,2006,1,1
610300,2018,6,4
522700,2023,19,17
511600,2016,1,1
451400,2014,17,7
150300,2021,1,1
520300,2016,10,4
150300,2019,1,1
522700,2021,11,8
511900,2020,11,4
511900,2018,5,4
522700,2022,20,6
522700,2019,5,5
522700,2017,1,1
5e+05,2003,3,3
150600,2020,3,1
520300,2008,34,3
520300,2012,10,2
451400,2015,42,15
451400,2016,18,7
451400,2017,46,6
451400,2011,9,3
451400,2009,5,3
451400,2008,1,1
451400,2006,4,2
451400,2012,1,1
511900,2017,8,6
610300,2021,1,1
610700,2019,41,28
150800,2013,1,1
610700,2021,70,36
610700,2014,34,24
511900,2019,4,4
640300,2023,1,1
150600,2007,1,1
150600,2023,4,4
610300,2023,4,3
640300,2019,1,1
511900,2016,3,3
511900,2023,5,3
511900,2014,1,1
610300,2017,5,5
610300,2020,2,2
520300,2006,5,3
520300,2010,1,1
511900,2021,5,5
610300,2016,1,1
610300,2019,9,6
511900,2022,4,1
511900,2006,1,1
621000,2023,2,2
610700,2011,37,13
610700,2020,44,24
610300,2022,1,1
511900,2009,1,1
522700,2012,1,1
610700,2013,41,15
610700,2016,21,8
610700,2010,41,14
451400,2002,1,1
610700,2015,11,9
610700,2009,18,8
610700,2008,2,2
610700,2012,11,6
610700,2022,12,7
610700,2002,11,4
610700,2006,15,7
450100,2022,29,17
610300,2011,1,1
450100,2021,34,20
450100,2020,29,21
610300,2007,11,7
610400,2020,4,3
451400,2010,1,1
610100,2017,212,55
610300,2015,1,1
522600,2020,13,10
610100,2006,17,11
511700,2018,8,5
610300,2004,1,1
522600,2023,10,7
450600,2005,25,2
522700,2007,3,1
450600,2016,11,6
610300,2008,2,1
621000,2012,1,1
450600,2023,10,7
450600,2019,8,4
450600,2014,1,1
450600,2015,1,1
522600,2019,11,6
450600,2021,15,13
522600,2002,2,2
450100,2019,19,16
610100,2011,27,16
520600,2019,26,13
522600,2012,1,1
610100,2005,3,1
610100,2021,18,17
610100,2007,24,16
610100,2014,35,22
610100,2002,6,4
520600,2018,27,13
610100,2008,22,14
522600,2022,12,4
610400,2023,21,16
150600,2004,1,1
522700,2016,1,1
610900,2021,2,2
610400,2013,4,3
610400,2007,1,1
610400,2022,1,1
522600,2004,1,1
610100,2013,41,19
520600,2016,3,2
450600,2013,2,2
450600,2018,8,4
610400,2018,7,7
511700,2019,3,3
610900,2017,2,2
522600,2018,5,4
450100,2023,46,21
450100,2018,14,10
450100,2015,13,9
450100,2013,18,10
522600,2021,1,1
610400,2006,2,1
610400,2019,5,5
610900,2007,1,1
610900,2010,4,1
450600,2007,1,1
520600,2021,11,5
610400,2012,1,1
520600,2015,5,3
450100,2011,2,1
