ssp,eff,horizon,province,exp_n,n_sp,pct_sup
ssp245,努力延续,2050,Zhejiang,3.19739110955685,283,0
ssp245,努力延续,2050,Beijing,1.61496905987969,160,0
ssp245,努力延续,2050,Inner Mongolia,0.84057783933177,195,0
ssp245,努力延续,2050,Jiangsu,4.00346688065263,271,0
ssp245,努力延续,2050,Ningxia,0.530865586309544,171,0
ssp245,努力延续,2050,Shanghai,2.52792131382139,223,0
ssp245,努力延续,2050,Tianjin,0.978272642870368,168,0
ssp245,努力延续,2050,Tibet,1.67053352478723,251,0
ssp585,努力停滞,2030,Anhui,0.878529751529985,265,0.675471698113208
ssp585,努力停滞,2030,Chongqing,0.699376284732543,295,0.671186440677966
ssp585,努力停滞,2030,Fujian,0.696321430646577,293,0.648464163822526
ssp585,努力停滞,2030,Gansu,1.02283873712017,258,0.573643410852713
ssp585,努力停滞,2030,Guangdong,0.30065981000102,261,0.609195402298851
ssp585,努力停滞,2030,Guangxi,1.03084433146807,278,0.62589928057554
ssp585,努力停滞,2030,Guizhou,0.971294103891863,291,0.604810996563574
ssp585,努力停滞,2030,Hainan,0.610308592390167,202,0.326732673267327
ssp585,努力停滞,2030,Hebei,0.388142238407756,214,0.728971962616822
ssp585,努力停滞,2030,Heilongjiang,0.65288625030433,170,0.670588235294118
ssp585,努力停滞,2030,Henan,0.757126851834905,239,0.606694560669456
ssp585,努力停滞,2030,Hubei,0.892003827468569,274,0
ssp585,努力停滞,2030,Hunan,1.52354134359613,252,0.686507936507937
ssp585,努力停滞,2030,Jiangxi,0.834187496029467,254,0.748031496062992
ssp585,努力停滞,2030,Jilin,0.559740067934147,184,0.657608695652174
ssp585,努力停滞,2030,Liaoning,0.674569909116339,227,0.669603524229075
ssp585,努力停滞,2030,Qinghai,0.608504079852443,215,0.553488372093023
ssp585,努力停滞,2030,Shaanxi,0.974561192924083,256,0.59765625
ssp585,努力停滞,2030,Shandong,0.867377041721525,265,0.664150943396226
ssp585,努力停滞,2030,Shanxi,0.393522260990362,211,0.682464454976303
ssp585,努力停滞,2030,Sichuan,0.864746157117532,318,0
ssp585,努力停滞,2030,Xinjiang,0.501413542013641,262,0.396946564885496
ssp585,努力停滞,2030,Yunnan,0.137922948301023,291,0.615120274914089
ssp585,努力停滞,2030,Zhejiang,0.992932602537077,283,0
ssp585,努力停滞,2030,Beijing,0.632737461604427,160,0
ssp585,努力停滞,2030,Inner Mongolia,0.783930433377011,195,0.548717948717949
ssp585,努力停滞,2030,Jiangsu,1.16539813930362,271,0
ssp585,努力停滞,2030,Ningxia,0.578916184148399,171,0.491228070175439
ssp585,努力停滞,2030,Shanghai,0.692998179997295,223,0.645739910313901
ssp585,努力停滞,2030,Tianjin,0.459168656382884,168,0.779761904761905
ssp585,努力停滞,2030,Tibet,0.942100633371591,251,0.697211155378486
ssp585,努力停滞,2050,Anhui,0.878290195854275,265,0.452830188679245
ssp585,努力停滞,2050,Chongqing,0.696513677359613,295,0.501694915254237
ssp585,努力停滞,2050,Fujian,0.747218213839246,293,0.549488054607509
ssp585,努力停滞,2050,Gansu,1.0454158278175,258,0.39922480620155
ssp585,努力停滞,2050,Guangdong,0.274554634578839,261,0.513409961685824
ssp585,努力停滞,2050,Guangxi,1.04364018833491,278,0.561151079136691
ssp585,努力停滞,2050,Guizhou,0.933039106147285,291,0.542955326460481
ssp585,努力停滞,2050,Hainan,0.600540661748513,202,0.227722772277228
ssp585,努力停滞,2050,Hebei,0.389878013381257,214,0.514018691588785
ssp585,努力停滞,2050,Heilongjiang,0.709225378685306,170,0.588235294117647
ssp585,努力停滞,2050,Henan,0.768915735305063,239,0.456066945606695
ssp585,努力停滞,2050,Hubei,0.931322865097338,274,0
ssp585,努力停滞,2050,Hunan,1.57093414085262,252,0.51984126984127
ssp585,努力停滞,2050,Jiangxi,0.843622155016236,254,0.519685039370079
ssp585,努力停滞,2050,Jilin,0.594304543444025,184,0.559782608695652
ssp585,努力停滞,2050,Liaoning,0.678251867923527,227,0.497797356828194
ssp585,努力停滞,2050,Qinghai,0.615443313135391,215,0.437209302325581
ssp585,努力停滞,2050,Shaanxi,0.973975860567455,256,0.4140625
ssp585,努力停滞,2050,Shandong,0.872836358418427,265,0.460377358490566
ssp585,努力停滞,2050,Shanxi,0.393100027517522,211,0.507109004739337
ssp585,努力停滞,2050,Sichuan,0.901727070796216,318,0
ssp585,努力停滞,2050,Xinjiang,0.493159795071906,262,0.366412213740458
ssp585,努力停滞,2050,Yunnan,0.134930242689861,291,0.529209621993127
ssp585,努力停滞,2050,Zhejiang,1.09409591892082,283,0
ssp585,努力停滞,2050,Beijing,0.613055582982925,160,0
ssp585,努力停滞,2050,Inner Mongolia,0.798015995139471,195,0.497435897435897
ssp585,努力停滞,2050,Jiangsu,1.2931222422544,271,0
ssp585,努力停滞,2050,Ningxia,0.61552205743318,171,0.473684210526316
ssp585,努力停滞,2050,Shanghai,0.730845066651753,223,0.439461883408072
ssp585,努力停滞,2050,Tianjin,0.459383940778075,168,0.535714285714286
ssp585,努力停滞,2050,Tibet,0.969737963347962,251,0.410358565737052
ssp585,努力延续,2030,Anhui,0.972639165963034,265,0.675471698113208
ssp585,努力延续,2030,Chongqing,0.805041231813071,295,0.671186440677966
ssp585,努力延续,2030,Fujian,0.858245921795253,293,0
ssp585,努力延续,2030,Gansu,1.05210269878797,258,0.573643410852713
ssp585,努力延续,2030,Guangdong,0.377782916030679,261,0.609195402298851
ssp585,努力延续,2030,Guangxi,1.32516439539302,278,0
ssp585,努力延续,2030,Guizhou,1.20883106765228,291,0.604810996563574
ssp585,努力延续,2030,Hainan,0.851841313950834,202,0.326732673267327
ssp585,努力延续,2030,Hebei,0.441049413821609,214,0.728971962616822
ssp585,努力延续,2030,Heilongjiang,0.683315801002752,170,0.670588235294118
ssp585,努力延续,2030,Henan,0.820638215852727,239,0
ssp585,努力延续,2030,Hubei,1.01900898599083,274,0
ssp585,努力延续,2030,Hunan,1.79512360429467,252,0
ssp585,努力延续,2030,Jiangxi,0.950433828313442,254,0
ssp585,努力延续,2030,Jilin,0.582303054601749,184,0.657608695652174
ssp585,努力延续,2030,Liaoning,0.735266077232788,227,0.669603524229075
ssp585,努力延续,2030,Qinghai,0.718139818174922,215,0.553488372093023
ssp585,努力延续,2030,Shaanxi,1.03588252208235,256,0.59765625
ssp585,努力延续,2030,Shandong,1.02064535806661,265,0
ssp585,努力延续,2030,Shanxi,0.420924263990194,211,0.682464454976303
ssp585,努力延续,2030,Sichuan,1.05179758693622,318,0
ssp585,努力延续,2030,Xinjiang,0.480354837821864,262,0
ssp585,努力延续,2030,Yunnan,0.161727611121402,291,0.615120274914089
ssp585,努力延续,2030,Zhejiang,1.16213805351203,283,0
ssp585,努力延续,2030,Beijing,0.752490620824419,160,0
ssp585,努力延续,2030,Inner Mongolia,0.776867225279943,195,0.548717948717949
ssp585,努力延续,2030,Jiangsu,1.3972193385028,271,0
ssp585,努力延续,2030,Ningxia,0.556710248384699,171,0.491228070175439
ssp585,努力延续,2030,Shanghai,0.839301264722502,223,0
ssp585,努力延续,2030,Tianjin,0.52054564859847,168,0.779761904761905
ssp585,努力延续,2030,Tibet,1.08324640887503,251,0.697211155378486
ssp585,努力延续,2050,Anhui,1.92429621999571,265,0
ssp585,努力延续,2050,Chongqing,1.71979243820017,295,0
ssp585,努力延续,2050,Fujian,3.10167966519775,293,0
ssp585,努力延续,2050,Gansu,1.30300012413495,258,0
ssp585,努力延续,2050,Guangdong,1.04852236977076,261,0
ssp585,努力延续,2050,Guangxi,4.64337073041495,278,0
ssp585,努力延续,2050,Guizhou,3.43805576948082,291,0
ssp585,努力延续,2050,Hainan,4.27553737435528,202,0
ssp585,努力延续,2050,Hebei,0.760293208478571,214,0
ssp585,努力延续,2050,Heilongjiang,0.826238337774101,170,0
ssp585,努力延续,2050,Henan,1.53261701978084,239,0
ssp585,努力延续,2050,Hubei,2.43812938047532,274,0
ssp585,努力延续,2050,Hunan,4.72863955838693,252,0
ssp585,努力延续,2050,Jiangxi,2.13846278792051,254,0
ssp585,努力延续,2050,Jilin,0.701763674952685,184,0
ssp585,努力延续,2050,Liaoning,1.10308937324523,227,0
ssp585,努力延续,2050,Qinghai,1.48641672982654,215,0
ssp585,努力延续,2050,Shaanxi,1.60972071970741,256,0
ssp585,努力延续,2050,Shandong,2.36886923008792,265,0
ssp585,努力延续,2050,Shanxi,0.65047498332554,211,0
ssp585,努力延续,2050,Sichuan,3.09178632286977,318,0
ssp585,努力延续,2050,Xinjiang,0.43367485671551,262,0
ssp585,努力延续,2050,Yunnan,0.275255931157374,291,0.529209621993127
ssp585,努力延续,2050,Zhejiang,3.43686396418197,283,0
ssp585,努力延续,2050,Beijing,1.47161136322263,160,0
ssp585,努力延续,2050,Inner Mongolia,0.790362393461167,195,0
ssp585,努力延续,2050,Jiangsu,4.53078798612157,271,0
ssp585,努力延续,2050,Ningxia,0.55345464630592,171,0
ssp585,努力延续,2050,Shanghai,2.72326467450104,223,0
ssp585,努力延续,2050,Tianjin,0.960302976967001,168,0
ssp585,努力延续,2050,Tibet,1.78506108428861,251,0
