group,n,n_events,term,estimate,se,p_value,grouping,odds_ratio,OR_lo,OR_hi,significant
Resident,567,116,z_log_range,0.471519255206886,0.164792587452706,0.00421921946540912,Migratory strategy,1.60242684016426,1.16012270976024,2.21336222149248,TRUE
Resident,567,116,z_log_clutch,-0.116494490279499,0.122251247410302,0.34063544865958,Migratory strategy,0.890035000807259,0.700397719057785,1.13101782188503,FALSE
Resident,567,116,z_log_congeners,-0.0358072953814842,0.112022525826359,0.749238438070371,Migratory strategy,0.964826202035027,0.774628711778513,1.20172359477362,FALSE
Resident,567,116,z_log_habbreadth,-0.167838923235135,0.117306910209742,0.15249683947373,Migratory strategy,0.845490012512763,0.671822931987257,1.06405025375405,FALSE
Resident,567,116,z_log_dietbreadth,-0.0735405508763747,0.12885631613697,0.568191173861325,Migratory strategy,0.929098469270449,0.721733782412256,1.19604206791531,FALSE
Resident,567,116,trophic_nicheOmnivore,0.0589032733978034,0.324251921590501,0.855850359334036,Migratory strategy,1.06067264051759,0.561788130073657,2.00258138276268,FALSE
Resident,567,116,trophic_nicheAquatic predator,0.994910015459229,0.541264833505872,0.0660446431363786,Migratory strategy,2.70448096885173,0.936159830302228,7.81300059469535,FALSE
Resident,567,116,trophic_nicheGranivore,0.170189763046344,0.410824229883241,0.678680643175856,Migratory strategy,1.18552979972257,0.529921854564528,2.6522418238161,FALSE
Resident,567,116,trophic_nicheVertivore/Scavenger,0.370265209596739,0.623760263834905,0.552778483041011,Migratory strategy,1.44811861869519,0.426430914528273,4.91767238810879,FALSE
Resident,567,116,trophic_nicheFrugivore/Nectarivore,-0.747740242785267,0.508653492300525,0.141551313274386,Migratory strategy,0.47343519344609,0.17469720030606,1.28302503990135,FALSE
Resident,567,116,trophic_nicheHerbivore,0.249373434111107,0.724801449986263,0.730802982484521,Migratory strategy,1.28322114215298,0.30998312828784,5.31208426975861,FALSE
Resident,567,116,habitat_densitySemi-open,-0.133271628206228,0.251868787427414,0.596714454476332,Migratory strategy,0.875227323389994,0.534226992067651,1.43389023576594,FALSE
Resident,567,116,habitat_densityOpen,-0.204537131256541,0.348725693543342,0.557521237143122,Migratory strategy,0.815024478472655,0.411461636928795,1.61440299870429,FALSE
Resident,567,116,iucn_groupNear Threatened,0.367434223857403,0.513843854837134,0.474565912245915,Migratory strategy,1.44402481302368,0.527450777056232,3.95336920776925,FALSE
Resident,567,116,iucn_groupThreatened,0.0776421645297034,0.532569050339568,0.884088767355847,Migratory strategy,1.08073586384365,0.380528891527518,3.06938588213195,FALSE
Resident,567,116,endemic_finalEndemic,0.325576745660376,0.408334313719085,0.425260045241126,Migratory strategy,1.38482910988281,0.622035254101702,3.08302728974468,FALSE
Partial migrant,228,91,z_log_mass,-0.215566965057607,0.260589475443684,0.408107725737525,Migratory strategy,0.806084288969861,0.483684551945392,1.34337943668171,FALSE
Partial migrant,228,91,z_log_hwi,-0.117393951842489,0.199040074515794,0.555324352288706,Migratory strategy,0.889234808459395,0.601991172204209,1.31353843891183,FALSE
Partial migrant,228,91,z_log_range,-0.0386821736577842,0.171615742425482,0.821668178204316,Migratory strategy,0.962056427436467,0.687255582640368,1.34673706980442,FALSE
Partial migrant,228,91,z_log_clutch,-0.199697855330244,0.183656821868957,0.276885502692685,Migratory strategy,0.818978165586293,0.571400321693756,1.17382719302452,FALSE
