baseline,window,n,events,AIC,sd_change_degC,sd_var_degC,cor_change_var,HR_change,lo_change,hi_change,P_change,HR_effort,lo_effort,hi_effort,P_effort,HR_var,P_var,HR_int,lo_int,hi_int,P_int,dAIC_within_baseline
1981-2010,5,175901,649,8338.13462492864,0.205501772306949,0.307624841763943,0.0292288663265508,1.11608838275904,1.01283877392445,1.22986334073996,0.0265836478580371,1.39385854843686,1.23599605768524,1.57188337371322,6.13090531728999e-08,1.00870292579664,0.849603467048657,0.89199310543316,0.803763504915679,0.989907721953316,0.0314852389987992,22.474865271759
1981-2010,8,175901,649,8334.31747946827,0.174604555945785,0.324285113142587,0.0433754952491086,1.15243133544183,1.04090296894043,1.27590949640596,0.00629599145228828,1.40317677527481,1.24384402544346,1.58291958026544,3.62305508000748e-08,1.00265866443582,0.954048658935407,0.871274332328295,0.787357152209332,0.964135475297354,0.00765662927188712,18.6577198113901
1981-2010,10,175901,649,8329.76718521835,0.156142333802078,0.340835089204242,9.94390929850582e-05,1.15557126329608,1.04002390947532,1.28395600561661,0.00714289745066303,1.40967442366219,1.24979426937272,1.59000727513715,2.26418693935001e-08,1.02059400472661,0.655767901515335,0.832732143822999,0.752700202694096,0.921273597209151,0.000384436463053711,14.1074255614694
1981-2010,12,175901,649,8325.97884149586,0.141614812386808,0.344902901465354,0.0158343322119489,1.22317959179841,1.10082567189097,1.35913283274185,0.000179361869310494,1.40690726524607,1.24807398216895,1.5859541031072,2.32670974634694e-08,1.00048727753828,0.991502528029474,0.849515206885153,0.76764180549304,0.940120876123475,0.00160936491871075,10.3190818389794
1981-2010,15,175901,649,8316.82378273355,0.126742458787456,0.35561002852531,-0.0217720659648939,1.2887610141214,1.15933878045164,1.43263123732667,2.62489747801565e-06,1.40821666996317,1.25006446358608,1.5863775407816,1.7795214701538e-08,1.00040321380531,0.993037624441779,0.83815990814915,0.753712776140213,0.932068625964095,0.00112054156153614,1.16402307666976
1981-2010,18,175901,649,8315.65975965688,0.112190595404559,0.360815339463649,-0.0273575048629867,1.29522194439994,1.16546746154677,1.43942232675351,1.56208956020232e-06,1.40192017384745,1.24509431873749,1.57849902956213,2.38107594969449e-08,1.01839822139203,0.696055092143642,0.825760556351821,0.747068540432115,0.91274154849575,0.000179043180540069,0
1981-2010,20,175901,649,8317.41137216259,0.102602110872478,0.360154997655603,0.00434007965670571,1.2904895192402,1.16145790215846,1.43385584287978,2.08726002863421e-06,1.40169684585324,1.24506420123729,1.57803432603913,2.33052938290869e-08,1.01573781732868,0.737091757583723,0.82793883470209,0.749655810025445,0.914396586861093,0.000194588718277281,1.75161250571
1981-2010,23,175901,649,8324.38300740452,0.0877215532067281,0.365527072502769,-0.0116256101232042,1.25236380746301,1.12384961731809,1.39557382239988,4.62846476092026e-05,1.39325834648413,1.23765427605235,1.56842573698311,4.04655902748617e-08,1.04352045372806,0.360111121888842,0.828605692084092,0.748603246240088,0.917157915628326,0.000284197547849123,8.72324774763911
1991-2020,3,175901,649,8342.16034178301,0.224408078147023,0.288861069286122,-0.0297712123547827,1.0656466633462,0.972847791848125,1.16729751623691,0.171371797457221,1.38979629116266,1.23229056146099,1.56743368109505,8.15762274058833e-08,1.01154061925982,0.800853425225091,0.926261730213766,0.833607086828047,1.02921485003591,0.15430663219399,17.2649166383999
1991-2020,5,175901,649,8342.28774810608,0.180031678454723,0.307624841763943,0.0261415161274556,1.07775591023086,0.983081425661709,1.18154790815594,0.110431453237071,1.38825261268787,1.23141739431446,1.56506260633716,8.16489505767903e-08,1.01080006297975,0.813887294171973,0.929800837742886,0.833801801336063,1.03685263869911,0.190501774202421,17.3923229614702
1991-2020,8,175901,649,8339.63437873966,0.143685328477811,0.324285113142587,0.044357649479863,1.10702944002517,1.00670328042706,1.21735391640183,0.0359193915691164,1.39535689565122,1.23700066174442,1.57398530692433,5.93834959428235e-08,1.00411433564603,0.928908585644004,0.90475178245009,0.81402407370488,1.00559162104509,0.0633717226041202,14.7389535950497
1991-2020,10,175901,649,8335.28852429019,0.122816420150513,0.340835089204242,-0.0156763950651392,1.10766487632387,1.00478398533077,1.22107985015075,0.0397864427099049,1.40487360752312,1.24568465376911,1.58440568978933,3.01824677142356e-08,1.0173623562958,0.706322893550904,0.85242192934314,0.766286974222536,0.948238936675524,0.00330434649846794,10.39309914558
1991-2020,12,175901,649,8332.89270596463,0.10705987018619,0.344902901465354,-0.00649729360255453,1.16741283528693,1.06156365834707,1.28381629992376,0.00141300482338624,1.39452919558604,1.23700000379427,1.57211937863931,5.39563476287777e-08,1.00218824711312,0.96176781257661,0.886417054836434,0.798530060750951,0.983976976854169,0.023622868994924,7.99728082002002
1991-2020,15,175901,649,8324.89542514461,0.0928787543362634,0.35561002852531,-0.077886348401848,1.23127527166963,1.11906749478252,1.35473400996223,1.97683159140768e-05,1.38211771556145,1.22645454482091,1.55753785391837,1.10633787281874e-07,1.01047579449544,0.821156716108033,0.906541392442698,0.816453311054156,1.00656986147911,0.066154592656976,0
1991-2020,18,175901,649,8328.00514241313,0.0806346141751446,0.360815339463649,-0.115996489714251,1.20737596883808,1.09764662717989,1.3280747136927,0.000105950240698761,1.37281903921082,1.21712695345911,1.54842689915258,2.47692703526336e-07,1.02984945018429,0.527052902356084,0.921708191325419,0.83284177529628,1.02005688854183,0.115004487100414,3.1097172685204
1991-2020,20,175901,649,8332.71481977973,0.0767512552633753,0.360154997655603,-0.102422174012472,1.1855782888267,1.07624346671531,1.30602035915453,0.000563794046827217,1.36343041108845,1.20786285552481,1.53903440061754,5.29567163087068e-07,1.03209288130488,0.496822432930037,0.961693375472629,0.871379088600111,1.06136830746505,0.437576252957909,7.81939463512026
1991-2020,23,175901,649,8341.10248634267,0.0707727973844192,0.365527072502769,-0.167743352341428,1.11486504539948,1.00565926386314,1.23592961763114,0.03870651010977,1.35866692714101,1.20266305178724,1.53490690194859,8.41245588450971e-07,1.04681414991514,0.328869092484498,1.00425080500595,0.90656841419171,1.1124584350915,0.935246552111911,16.2070611980598
