species,province,new_year,old_year
Certhia himalayana,Qinghai,2013,2014
Certhia tianquanensis,Shaanxi,2004,2005
Ceryle rudis,Beijing,2005,2011
Ceryle rudis,Liaoning,2022,
Ceryle rudis,Shaanxi,2019,2020
Cettia brunnifrons,Shaanxi,2018,2018
Cettia castaneocoronata,Hubei,2020,2021
Chalcophaps indica,Anhui,2023,2023
Chalcophaps indica,Hunan,2017,2018
Chalcophaps indica,Jiangxi,2004,2011
Chalcophaps indica,Zhejiang,2018,2019
Charadrius atrifrons,Guizhou,2024,2024
Charadrius atrifrons,Yunnan,2024,
Charadrius dealbatus,Jiangxi,2024,2024
Charadrius placidus,Hainan,2004,2006
Charadrius veredus,Hainan,,2006
Charadrius veredus,Jilin,2006,2010
Charadrius veredus,Xinjiang,2010,2010
Charadrius veredus,Yunnan,2016,2024
Chlidonias leucopterus,Yunnan,2006,2008
Chlidonias niger,Gansu,2021,2022
Chlidonias niger,Hubei,2020,2021
Chloris ambigua,Guangxi,2004,2006
Chloris sinica,Hainan,,2006
Chrysolophus pictus,Shanxi,2006,2007
Ciconia boyciana,Gansu,2023,2024
Ciconia boyciana,Ningxia,2017,2018
Ciconia nigra,Tibet,2020,2021
Circaetus gallicus,Guangxi,2015,2021
Circaetus gallicus,Hunan,2022,2023
Circaetus gallicus,Jiangsu,2024,
Circus macrourus,Zhejiang,2021,2023
Circus spilonotus,Xinjiang,2015,2015
Cisticola exilis,Hainan,2007,2007
Cisticola juncidis,Liaoning,2006,2006
Clamator coromandus,Beijing,,2003
Clamator coromandus,Heilongjiang,2012,2013
Clamator coromandus,Liaoning,2015,2022
Clanga clanga,Gansu,2014,2023
Columba oenas,Gansu,2021,2022
Columba oenas,Inner Mongolia,2014,2017
Copsychus saularis,Guangxi,2005,2006
Coracias garrulus,Qinghai,2021,2022
Coturnicops exquisitus,Yunnan,2003,2004
Crex crex,Yunnan,2011,2012
Crossoptilon mantchuricum,Henan,2022,2024
Curruca curruca,Guizhou,2024,2024
Curruca curruca,Hainan,2021,2022
Cyanistes cyanus,Jilin,2019,2023
Cyanoderma pyrrhops,Tibet,2010,2010
Cygnus cygnus,Guangxi,2016,2017
Cygnus olor,Jilin,2009,2010
Cygnus olor,Shaanxi,2015,2016
Cyornis glaucicomans,Henan,2019,2021
Cyornis glaucicomans,Jiangsu,2023,2024
Cyornis glaucicomans,Shanxi,2019,2020
Cyornis hainanus,Sichuan,2023,2023
Cyornis rubeculoides,Hunan,2009,2010
Delichon dasypus,Henan,2016,2018
Dendrocitta formosae,Shanghai,2012,2018
Dendrocopos hyperythrus,Qinghai,2013,2015
Dendrocygna javanica,Guizhou,2020,2021
Dicaeum cruentatum,Jiangxi,2008,2011
Dicaeum ignipectus,Henan,2013,2016
Dicaeum minullum,Jiangxi,2003,2011
Dicrurus annectens,Tibet,2014,2015
Dicrurus hottentottus,Hainan,,2006
Dicrurus hottentottus,Heilongjiang,2009,2010
Dicrurus hottentottus,Qinghai,2013,2015
Dicrurus remifer,Tibet,2019,2019
Egretta eulophotes,Tianjin,2004,2006
Egretta garzetta,Tibet,2013,2015
Elachura formosa,Hubei,2017,2019
Elachura formosa,Tibet,2019,2019
Elanus caeruleus,Beijing,2013,2013
Elanus caeruleus,Gansu,2022,
Elanus caeruleus,Henan,2013,2014
Elanus caeruleus,Inner Mongolia,2022,2023
Elanus caeruleus,Liaoning,2019,2021
Elanus caeruleus,Shaanxi,2016,2016
Elanus caeruleus,Sichuan,2015,2016
Elanus caeruleus,Tianjin,2004,2006
Emberiza buchanani,Qinghai,2014,2017
Emberiza citrinella,Qinghai,2014,2017
Emberiza elegans,Heilongjiang,2021,
Emberiza elegans,Qinghai,2014,2017
Emberiza elegans,Tibet,2023,2024
Emberiza godlewskii,Heilongjiang,2015,2016
Emberiza godlewskii,Hunan,2009,2010
Emberiza hortulana,Inner Mongolia,2010,2023
Emberiza leucocephalos,Anhui,2012,2013
Emberiza leucocephalos,Xinjiang,,2013
Emberiza pallasi,Guizhou,2014,2014
Emberiza pusilla,Tibet,2013,2014
Emberiza rustica,Guizhou,2023,2024
Emberiza siemsseni,Jiangsu,2023,2024
Emberiza siemsseni,Jiangxi,2011,2013
Emberiza siemsseni,Qinghai,2014,2017
Emberiza yessoensis,Anhui,2016,2017
Emberiza yessoensis,Hubei,2014,2014
Emberiza yessoensis,Hunan,2014,2016
Enicurus leschenaulti,Inner Mongolia,2014,2015
Enicurus maculatus,Guizhou,2020,2024
Enicurus maculatus,Zhejiang,2018,2018
Enicurus schistaceus,Anhui,2020,2024
Erpornis zantholeuca,Tibet,2019,2019
Eudynamys scolopaceus,Liaoning,2017,2018
Eudynamys scolopaceus,Qinghai,2023,2024
Eudynamys scolopaceus,Shanxi,2019,2020
Eudynamys scolopaceus,Tibet,2015,2016
Eumyias thalassinus,Gansu,2019,2020
Eumyias thalassinus,Hainan,2018,2019
Eumyias thalassinus,Inner Mongolia,2019,2023
Eumyias thalassinus,Jiangsu,2016,2019
Eumyias thalassinus,Qinghai,2017,2019
Eumyias thalassinus,Tianjin,2018,2018
Falco cherrug,Yunnan,2016,2018
Falco severus,Tibet,2013,2014
Ficedula albicilla,Tibet,2016,2017
Ficedula elisae,Hunan,2019,2021
Ficedula elisae,Jiangxi,2010,2012
Ficedula elisae,Shanghai,2013,2018
Ficedula erithacus,Guizhou,2021,2024
Ficedula erithacus,Hebei,2015,2016
Ficedula hyperythra,Chongqing,2007,2009
Ficedula hyperythra,Hunan,2017,2022
Ficedula hyperythra,Shaanxi,2006,2007
Ficedula mugimaki,Guizhou,2017,2019
Ficedula strophiata,Beijing,2015,2017
Ficedula superciliaris,Hubei,2019,2020
Ficedula tricolor,Hunan,2012,2014
Ficedula tricolor,Inner Mongolia,2007,2009
Ficedula tricolor,Qinghai,2017,2019
Fringilla coelebs,Gansu,2020,2024
Fringilla coelebs,Hubei,2021,
Fringilla coelebs,Hunan,2017,2023
Fringilla coelebs,Jiangsu,2023,2024
Fringilla coelebs,Qinghai,2015,2017
Fringilla coelebs,Yunnan,2016,2017
Fringilla montifringilla,Ningxia,2010,2011
Galerida cristata,Heilongjiang,2006,2010
Gallicrex cinerea,Gansu,2017,2020
Garrulax canorus,Liaoning,,2003
Garrulax maesi,Guangdong,,2008
Garrulax monileger,Hubei,2015,2016
Garrulax monileger,Jiangsu,2007,2009
Garrulax monileger,Shaanxi,2020,2020
Gavia arctica,Liaoning,2022,2023
Gavia arctica,Shaanxi,2017,2018
Gavia arctica,Yunnan,2021,2023
Gelochelidon nilotica,Hubei,2018,2021
Gelochelidon nilotica,Hunan,2020,2020
Geokichla citrina,Chongqing,2008,2009
Geokichla citrina,Jiangxi,2017,2018
Glaucidium cuculoides,Beijing,2006,2008
Gorsachius melanolophus,Jiangsu,2019,2019
Gorsachius melanolophus,Shandong,2018,2019
Gracupica nigricollis,Anhui,2007,2010
Gracupica nigricollis,Chongqing,2006,2006
Gracupica nigricollis,Hainan,2005,2006
Gracupica nigricollis,Shandong,2021,2022
Grandala coelicolor,Chongqing,2007,2009
Grus japonensis,Fujian,2024,2024
Grus japonensis,Sichuan,2023,2024
Grus monacha,Ningxia,2021,2021
Grus nigricollis,Inner Mongolia,2023,2023
Gypaetus barbatus,Chongqing,2007,2010
Gypaetus barbatus,Shaanxi,2023,2024
Gyps himalayensis,Guangxi,2013,2013
Gyps himalayensis,Liaoning,2002,2003
Halcyon coromanda,Shandong,2007,2008
Halcyon pileata,Tibet,2017,2018
Halcyon smyrnensis,Jiangsu,2006,2010
Halcyon smyrnensis,Shandong,2022,2024
Halcyon smyrnensis,Shanghai,2009,2009
Halcyon smyrnensis,Tibet,2013,2014
Haliaeetus leucoryphus,Yunnan,2009,2010
Harpactes wardi,Tibet,2019,2020
Helopsaltes certhiola,Tibet,2023,2024
Helopsaltes pryeri,Shanghai,2004,2006
Hemiprocne coronata,Inner Mongolia,2011,2018
Hemitesia pallidipes,Hunan,2023,2024
Hemixos castanonotus,Anhui,2007,2010
Hemixos castanonotus,Shandong,2020,2023
Heterophasia desgodinsi,Hubei,2011,2012
Heterophasia desgodinsi,Shaanxi,2011,2012
Heteroxenicus stellatus,Sichuan,2015,2018
Hieraaetus pennatus,Gansu,2013,2014
Hieraaetus pennatus,Hainan,2022,2022
Hieraaetus pennatus,Henan,2011,2012
Hieraaetus pennatus,Hunan,2020,2021
Hieraaetus pennatus,Qinghai,2013,2017
Hieraaetus pennatus,Shaanxi,2020,2021
Hieraaetus pennatus,Tibet,2012,2016
Hierococcyx nisicolor,Shaanxi,2014,2016
Hirundapus caudacutus,Hunan,2013,2014
Hirundo rustica,Hainan,2018,2022
Histrionicus histrionicus,Beijing,2017,2017
Histrionicus histrionicus,Inner Mongolia,2014,2014
Histrionicus histrionicus,Jiangsu,2022,2022
Hydrocoloeus minutus,Zhejiang,2017,2017
Hydrophasianus chirurgus,Gansu,2022,2023
Hydrophasianus chirurgus,Liaoning,2011,2024
Hydrophasianus chirurgus,Tianjin,2014,2015
Hydrophasianus chirurgus,Yunnan,2024,
Hydroprogne caspia,Hubei,2020,2021
Hydroprogne caspia,Ningxia,2020,2024
Hydroprogne caspia,Yunnan,,2005
Hypothymis azurea,Jiangsu,2019,2020
Hypsipetes leucocephalus,Gansu,2020,2021
Ianthocincla lunulata,Ningxia,2017,2018
Ibidorhyncha struthersii,Anhui,2021,2023
Ictinaetus malaiensis,Anhui,2005,2010
Ictinaetus malaiensis,Shandong,2021,2023
Iduna caligata,Zhejiang,2021,2022
Indicator xanthonotus,Sichuan,2021,2022
Ixobrychus cinnamomeus,Qinghai,2018,2019
Ixobrychus eurhythmus,Shaanxi,2014,2015
Ixobrychus minutus,Gansu,2019,2020
Ixos mcclellandii,Gansu,2016,2016
Ixos mcclellandii,Ningxia,2021,2024
Ketupa flavipes,Shanxi,2024,2024
Lalage melaschistos,Liaoning,2012,2014
Lanius borealis,Tibet,2020,2022
Lanius collurioides,Sichuan,2014,2017
Lanius isabellinus,Zhejiang,2022,2022
Lanius schach,Beijing,2009,2011
Lanius schach,Jiangxi,2008,2009
Lanius sphenocercus,Yunnan,2017,2019
Lanius tephronotus,Hubei,2011,2013
Lanius tephronotus,Xinjiang,2004,2004
Larus crassirostris,Hainan,2006,2006
Larvivora brunnea,Jiangsu,2019,2020
Larvivora cyane,Hainan,2006,2009
Larvivora cyane,Hunan,2006,2007
Leptopoecile elegans,Yunnan,2010,2011
Leptoptilos javanicus,Yunnan,2013,2014
Limnodromus semipalmatus,Shaanxi,2019,2020
Limnodromus semipalmatus,Xinjiang,2010,2011
Limosa limosa,Ningxia,2011,2011
Linaria cannabina,Inner Mongolia,2019,2023
Locustella davidi,Guangxi,2023,2024
Locustella davidi,Liaoning,,2003
Locustella mandelli,Guizhou,2009,2010
Locustella mandelli,Hunan,2011,2014
Lonchura striata,Gansu,2009,2011
Lonchura striata,Tibet,2003,2006
Lophotriorchis kienerii,Tibet,2019,2019
Lophura nycthemera,Guangdong,2022,2024
Lophura nycthemera,Jiangsu,2016,2017
Loxia curvirostra,Hubei,2019,2024
Macropygia unchall,Jiangsu,2021,2024
Macropygia unchall,Tibet,2016,2017
Macropygia unchall,Zhejiang,2014,2016
Mareca falcata,Gansu,2018,2019
Mareca falcata,Xinjiang,2022,2023
Megaceryle lugubris,Inner Mongolia,2014,2015
Megaceryle lugubris,Qinghai,2017,2019
Megaceryle lugubris,Tibet,2019,2019
Melanitta fusca,Guangdong,2023,
Melanitta fusca,Shanghai,2019,2021
Melanitta stejnegeri,Guizhou,2023,
Melanitta stejnegeri,Shaanxi,2016,2017
Melanochlora sultanea,Tibet,2019,2019
Melanochlora sultanea,Zhejiang,2017,2018
Mergus serrator,Guizhou,2023,2024
Mergus serrator,Hunan,2020,2022
Mergus serrator,Shaanxi,2016,2017
Mergus serrator,Yunnan,2016,2017
Merops philippinus,Henan,2022,2023
Mixornis gularis,Guangxi,2005,2005
Monticola gularis,Sichuan,2011,2013
Monticola rufiventris,Shaanxi,2005,2007
Monticola solitarius,Qinghai,2017,2019
Motacilla citreola,Hunan,2010,2011
Moupinia poecilotis,Tibet,2019,2022
Muscicapa dauurica,Xinjiang,2010,2011
Muscicapa ferruginea,Hunan,2020,2024
Muscicapa ferruginea,Zhejiang,2013,2013
Muscicapa muttui,Henan,2019,2020
Muscicapa muttui,Hunan,2013,2015
Muscicapa muttui,Jiangsu,2023,2024
Muscicapa muttui,Shanghai,2013,2018
Mycerobas affinis,Shaanxi,2014,2014
Mycerobas affinis,Shandong,2009,2009
Mycerobas carnipes,Henan,2017,2021
Myiomela leucura,Jiangxi,2016,2018
Netta rufina,Anhui,2016,2017
Netta rufina,Jilin,2020,2023
Netta rufina,Liaoning,2012,2022
Netta rufina,Shanghai,2012,2018
Niltava davidi,Zhejiang,2017,2018
Niltava grandis,Guangxi,2002,2003
Niltava macgrigoriae,Shandong,2023,2023
Niltava sundara,Hunan,2014,2015
Ninox japonica,Hunan,2018,2023
Nipponia nippon,Gansu,2021,2024
Nisaetus nipalensis,Gansu,2006,2007
Nisaetus nipalensis,Guizhou,2017,2018
Numenius madagascariensis,Shaanxi,,2007
Nycticorax nycticorax,Tibet,2014,2014
Oenanthe deserti,Shanghai,2014,2018
Oenanthe deserti,Sichuan,2012,2012
Oenanthe deserti,Zhejiang,2021,2022
Oenanthe oenanthe,Jiangsu,2023,2024
Onychoprion anaethetus,Guangxi,2013,2013
Onychoprion anaethetus,Jiangsu,2021,
Onychoprion anaethetus,Shandong,2018,2019
Onychoprion anaethetus,Yunnan,2024,2024
Oriolus oriolus,Qinghai,2015,2017
Otus lettia,Gansu,2023,2024
Otus semitorques,Henan,2011,2012
Otus semitorques,Inner Mongolia,2022,2022
Otus semitorques,Zhejiang,2014,2015
Otus spilocephalus,Anhui,2022,2023
Otus spilocephalus,Jiangxi,2004,2011
Oxyura leucocephala,Shaanxi,2018,2019
Oxyura leucocephala,Sichuan,2020,2022
Panurus biarmicus,Henan,2021,2024
Panurus biarmicus,Shaanxi,2018,2020
Paradoxornis guttaticollis,Hunan,2010,2014
Paradoxornis heudei,Anhui,2006,2010
Paradoxornis heudei,Henan,2006,2008
Paradoxornis heudei,Jilin,2021,2022
Paradoxornis heudei,Tianjin,,2002
Parayuhina diademata,Tibet,2013,2014
Pardaliparus venustulus,Jilin,2010,2012
Pardaliparus venustulus,Qinghai,2013,2014
Parus monticolus,Guangxi,2004,2006
Passer cinnamomeus,Beijing,2004,2004
Passer cinnamomeus,Inner Mongolia,2017,2017
Passer domesticus,Hainan,2017,2022
Passer domesticus,Hubei,2023,2024
Passer domesticus,Jiangxi,2019,2023
Passer domesticus,Shaanxi,2009,2009
Passer domesticus,Yunnan,2014,2015
Passer domesticus,Zhejiang,2021,2023
Passer hispaniolensis,Inner Mongolia,2014,2015
Passer hispaniolensis,Sichuan,2016,2019
Pelecanus crispus,Guizhou,2023,2024
Pellorneum tickelli,Guangxi,2005,2006
Perdix hodgsoniae,Yunnan,2011,2013
Pericrocotus cantonensis,Tianjin,2020,2023
Pericrocotus divaricatus,Hainan,2017,2020
Pericrocotus ethologus,Hunan,2011,2014
Pericrocotus ethologus,Inner Mongolia,2013,2014
Pericrocotus ethologus,Jiangsu,2022,2024
Pericrocotus solaris,Anhui,2007,2010
Pericrocotus solaris,Chongqing,2007,2009
Phoenicurus erythronotus,Gansu,2019,2020
Phoenicurus frontalis,Jiangxi,2019,2019
Phoenicurus frontalis,Shandong,2017,2017
Phoenicurus leucocephalus,Xinjiang,2009,2010
Phoenicurus ochruros,Hunan,2021,2021
Phoenicurus ochruros,Jiangsu,2014,
Phoenicurus ochruros,Shanghai,2011,2013
Phoenicurus ochruros,Zhejiang,2019,2020
Phoenicurus schisticeps,Shandong,2009,2010
Phylloscopus affinis,Guangxi,2009,2010
Phylloscopus affinis,Heilongjiang,2010,2011
Phylloscopus burkii,Tianjin,2002,2002
Phylloscopus cantator,Guangxi,2014,2014
Phylloscopus cantator,Tibet,2016,2017
Phylloscopus castaniceps,Anhui,2015,2017
Phylloscopus castaniceps,Heilongjiang,2002,2003
Phylloscopus castaniceps,Shanghai,2011,2013
Phylloscopus claudiae,Shanghai,2013,2018
Phylloscopus coronatus,Xinjiang,2010,2013
Phylloscopus emeiensis,Hunan,2018,2019
Phylloscopus intermedius,Guangxi,2006,2008
Phylloscopus intermedius,Hainan,2018,2019
Phylloscopus intermedius,Henan,2022,2022
Phylloscopus intermedius,Hunan,2017,2022
Phylloscopus intermedius,Shanghai,2013,2018
Phylloscopus magnirostris,Hunan,2012,2014
Phylloscopus ogilviegranti,Shaanxi,2011,2012
Phylloscopus omeiensis,Hunan,2015,2023
Phylloscopus pulcher,Hunan,2021,2022
Phylloscopus ricketti,Anhui,2016,2017
Phylloscopus ricketti,Henan,2016,2016
Phylloscopus ricketti,Jiangxi,2009,2010
Phylloscopus soror,Beijing,2011,2013
Phylloscopus soror,Hunan,2015,2023
Phylloscopus soror,Jiangsu,2021,2021
Phylloscopus soror,Shanghai,2011,2013
Phylloscopus subaffinis,Inner Mongolia,2019,2023
Phylloscopus tenellipes,Henan,2011,2011
Phylloscopus tephrocephalus,Anhui,2022,2024
Phylloscopus tephrocephalus,Gansu,2016,2016
Phylloscopus tephrocephalus,Guizhou,2011,2012
Phylloscopus tephrocephalus,Hunan,2015,2016
Phylloscopus tephrocephalus,Tianjin,2020,2023
Phylloscopus yunnanensis,Jiangxi,2011,2012
Picumnus innominatus,Guangxi,2005,2006
Picumnus innominatus,Shandong,2015,2017
Picus chlorolophus,Tibet,2019,2019
Pitta nympha,Hubei,2009,2011
Pitta nympha,Jilin,2019,2020
Platalea minor,Anhui,2016,2017
Pnoepyga immaculata,Tibet,2010,2010
Podiceps auritus,Gansu,2020,2021
Podiceps auritus,Shaanxi,2016,2017
Podiceps grisegena,Gansu,2007,2008
Podiceps nigricollis,Shaanxi,2002,2007
Podiceps nigricollis,Tibet,2013,2014
Podoces biddulphi,Gansu,2008,2009
Pomatorhinus schisticeps,Tibet,2015,2016
Prinia atrogularis,Guizhou,2016,2016
Prinia atrogularis,Hunan,2015,2017
Prinia flaviventris,Hubei,2019,2022
Prinia flaviventris,Jiangsu,2022,2023
Prinia inornata,Shaanxi,2023,2023
Prunella collaris,Hunan,2020,2022
Prunella himalayana,Shandong,2009,2010
Prunella immaculata,Shaanxi,2007,2007
Prunella montanella,Jiangsu,2014,
Prunella montanella,Xinjiang,2008,2008
Prunella strophiata,Guizhou,2009,2010
Prunella strophiata,Henan,2016,2017
Psarisomus dalhousiae,Tibet,2015,2016
Pseudopodoces humilis,Inner Mongolia,2020,2023
Psilopogon faber,Fujian,2014,
Psilopogon faber,Zhejiang,2016,2018
Psilopogon virens,Gansu,2016,2017
Pterorhinus berthemyi,Jiangsu,2007,2009
Pterorhinus lanceolatus,Henan,2016,2017
Pterorhinus pectoralis,Jiangsu,2007,2009
Pterorhinus sannio,Henan,2014,2017
Pteruthius rufiventer,Tibet,2019,2019
Pteruthius xanthochlorus,Anhui,2015,2016
Pteruthius xanthochlorus,Guizhou,2017,2018
Pteruthius xanthochlorus,Hunan,2011,2014
Ptyonoprogne rupestris,Hubei,2017,
Ptyonoprogne rupestris,Jiangsu,2021,2024
Pycnonotus aurigaster,Hainan,,2006
Pycnonotus jocosus,Hainan,2010,2011
Pycnonotus jocosus,Henan,2010,2013
Pycnonotus jocosus,Sichuan,2011,2018
Pycnonotus sinensis,Beijing,2002,2003
Pycnonotus sinensis,Inner Mongolia,2024,2024
Pycnonotus sinensis,Jilin,2018,2020
Pycnonotus sinensis,Liaoning,2004,2006
Pycnonotus sinensis,Ningxia,2010,2011
Pycnonotus sinensis,Qinghai,2006,2006
Pycnonotus xanthorrhous,Ningxia,2019,2019
Pycnonotus xanthorrhous,Shanghai,2008,2018
Pyrrhula erythaca,Hunan,2011,2011
Pyrrhula nipalensis,Henan,2023,2024
Pyrrhula nipalensis,Hunan,2010,2011
Pyrrhula nipalensis,Shaanxi,2010,2010
Rallina eurizonoides,Jiangxi,2006,2009
Rallina eurizonoides,Shandong,2020,2022
Rallus aquaticus,Anhui,2022,2022
Rallus aquaticus,Inner Mongolia,2009,2023
Rallus aquaticus,Ningxia,2009,2023
Rallus aquaticus,Shaanxi,2018,
Recurvirostra avosetta,Ningxia,2010,2011
Recurvirostra avosetta,Yunnan,2007,2010
Regulus regulus,Anhui,2011,2011
Regulus regulus,Hunan,2012,2023
Remiz consobrinus,Guangxi,2012,2015
Remiz consobrinus,Guizhou,2023,2024
Remiz consobrinus,Shaanxi,2015,2015
Remiz consobrinus,Sichuan,2020,2021
Remiz coronatus,Gansu,2021,2022
Remiz coronatus,Inner Mongolia,2021,2022
Rhodospiza obsoleta,Shaanxi,2010,2010
Riparia riparia,Hainan,,2006
Sasia ochracea,Guangdong,2013,2014
Sasia ochracea,Hunan,2017,2018
Saxicola ferreus,Tianjin,2019,2019
Sitta cinnamoventris,Tibet,2016,2017
Sitta formosa,Tibet,2019,2019
Sitta villosa,Heilongjiang,2005,2006
Sitta villosa,Shandong,2023,2024
Sittiparus varius,Shanghai,2012,2013
Spilopelia chinensis,Inner Mongolia,2004,2006
Spilopelia chinensis,Jilin,2016,2022
Spilopelia senegalensis,Gansu,2020,2023
Spilornis cheela,Heilongjiang,2010,2011
Spilornis cheela,Shanghai,2015,2018
Spinus spinus,Xinjiang,2010,2010
Spizixos semitorques,Beijing,2019,2022
Spizixos semitorques,Hebei,2019,2020
Spizixos semitorques,Shandong,2011,2017
Spodiopsar cineraceus,Tibet,2016,2018
Spodiopsar sericeus,Gansu,2015,2015
Spodiopsar sericeus,Jilin,2019,
Spodiopsar sericeus,Liaoning,2007,2014
Spodiopsar sericeus,Ningxia,2016,2024
Stachyris humei,Tibet,2014,2015
Staphida torqueola,Gansu,2021,2022
Streptopelia decaocto,Heilongjiang,2005,2006
Sturnia sinensis,Jiangsu,2018,2019
Sturnus vulgaris,Heilongjiang,2007,2008
Sturnus vulgaris,Inner Mongolia,2013,2014
Sturnus vulgaris,Shaanxi,2012,2013
Sturnus vulgaris,Tianjin,,2002
Suthora fulvifrons,Hubei,2017,2017
Syrmaticus humiae,Yunnan,2017,2022
Syrmaticus reevesii,Guangxi,2020,2021
Syrrhaptes paradoxus,Guangxi,,2006
Tarsiger chrysaeus,Guizhou,2019,2020
Tarsiger chrysaeus,Henan,2023,2023
Tarsiger chrysaeus,Hunan,2022,2023
Tarsiger indicus,Shaanxi,2015,2018
Temnurus temnurus,Guangdong,2020,2022
Tephrodornis virgatus,Zhejiang,2019,2020
Thalasseus bergii,Shanghai,2011,2013
