unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
130681,0.00782979672965829,201,Hebei,涿州市,河北省,47
130682,0.003662099891323,201,Hebei,定州市,河北省,124
130683,0.00348865789121426,201,Hebei,安国市,河北省,133
130684,0.0052642997664713,201,Hebei,高碑店市,河北省,85
130702,0.00658528162091241,201,Hebei,桥东区,河北省,62
130703,0.00578323128626437,201,Hebei,桥西区,河北省,75
130705,0.00773331227887776,201,Hebei,宣化区,河北省,50
130706,0.0065196156042071,201,Hebei,下花园区,河北省,63
130708,0.00506387880759942,201,Hebei,万全区,河北省,90
130709,0.008399976918972,201,Hebei,崇礼区,河北省,35
130722,0.00718027290085481,201,Hebei,张北县,河北省,57
130723,0.00589351261645095,201,Hebei,康保县,河北省,71
130724,0.00586274809285093,201,Hebei,沽源县,河北省,72
130725,0.00615917439896802,201,Hebei,尚义县,河北省,66
130726,0.0107852756600259,201,Hebei,蔚县,河北省,9
130727,0.00571225919742833,201,Hebei,阳原县,河北省,76
130728,0.00415443504546665,201,Hebei,怀安县,河北省,112
130730,0.0101530423681307,201,Hebei,怀来县,河北省,16
130731,0.0112985668224114,201,Hebei,涿鹿县,河北省,7
130732,0.00918420895166143,201,Hebei,赤城县,河北省,26
130802,0.0101440652947982,201,Hebei,双桥区,河北省,17
130803,0.00562383619067873,201,Hebei,双滦区,河北省,78
130804,0.00436212755988632,201,Hebei,鹰手营子矿区,河北省,102
130821,0.00700149754730896,201,Hebei,承德县,河北省,59
130822,0.0127411981488241,201,Hebei,兴隆县,河北省,1
130824,0.0101843746837109,201,Hebei,滦平县,河北省,15
130825,0.00940696416771236,201,Hebei,隆化县,河北省,24
130826,0.00881077221654183,201,Hebei,丰宁满族自治县,河北省,31
130827,0.00728702607531839,201,Hebei,宽城满族自治县,河北省,53
130828,0.00950876152515526,201,Hebei,围场满族蒙古族自治县,河北省,23
130881,0.0102050018330491,201,Hebei,平泉市,河北省,14
130902,0.00342101834601394,201,Hebei,新华区,河北省,137
130903,0.00351589930086527,201,Hebei,运河区,河北省,131
130921,0.00607907127122656,201,Hebei,沧县,河北省,69
130922,0.00726148938898776,201,Hebei,青县,河北省,54
130923,0.00361013578811706,201,Hebei,东光县,河北省,126
130924,0.0078219037190614,201,Hebei,海兴县,河北省,48
130925,0.00371190724372932,201,Hebei,盐山县,河北省,119
130926,0.00370746932176618,201,Hebei,肃宁县,河北省,120
130927,0.00351532996021804,201,Hebei,南皮县,河北省,132
130928,0.00353339935077381,201,Hebei,吴桥县,河北省,129
130929,0.00360815162805238,201,Hebei,献县,河北省,127
130930,0.00366431107913797,201,Hebei,孟村回族自治县,河北省,123
130981,0.00343402807723673,201,Hebei,泊头市,河北省,136
130982,0.00442242041440652,201,Hebei,任丘市,河北省,100
130983,0.0115140249695217,201,Hebei,黄骅市,河北省,6
130984,0.00433412205286707,201,Hebei,河间市,河北省,105
131002,0.0081623570879654,201,Hebei,安次区,河北省,41
131003,0.0079446258988705,201,Hebei,广阳区,河北省,45
131022,0.00846741079629524,201,Hebei,固安县,河北省,33
131023,0.00531254129757073,201,Hebei,永清县,河北省,83
131024,0.00749755338948203,201,Hebei,香河县,河北省,52
131025,0.00489914161243074,201,Hebei,大城县,河北省,91
131026,0.00542159426360667,201,Hebei,文安县,河北省,82
131028,0.00399413852357782,201,Hebei,大厂回族自治县,河北省,115
131081,0.0061107909065288,201,Hebei,霸州市,河北省,68
131082,0.0102629995228289,201,Hebei,三河市,河北省,13
131102,0.00986364371473959,201,Hebei,桃城区,河北省,20
131103,0.00896803574326907,201,Hebei,冀州区,河北省,29
131121,0.00325829611205382,201,Hebei,枣强县,河北省,142
131122,0.00583361042853323,201,Hebei,武邑县,河北省,73
131123,0.00340962253492944,201,Hebei,武强县,河北省,138
131124,0.0037680759568024,201,Hebei,饶阳县,河北省,118
131125,0.0032951071148455,201,Hebei,安平县,河北省,141
131126,0.0055966999005941,201,Hebei,故城县,河北省,79
131127,0.00348650505952968,201,Hebei,景县,河北省,134
131128,0.00348273608836874,201,Hebei,阜城县,河北省,135
131182,0.0045084975129609,201,Hebei,深州市,河北省,95
140105,0.0105670288682378,197,Shanxi,小店区,山西省,29
140106,0.0100406128209601,197,Shanxi,迎泽区,山西省,35
140107,0.00911305489254512,197,Shanxi,杏花岭区,山西省,47
140108,0.0133726305735178,197,Shanxi,尖草坪区,山西省,6
140109,0.00482290288683778,197,Shanxi,万柏林区,山西省,114
140110,0.012654588115169,197,Shanxi,晋源区,山西省,14
140121,0.0087075068756411,197,Shanxi,清徐县,山西省,57
140122,0.0107648330961365,197,Shanxi,阳曲县,山西省,27
140123,0.0114979600023059,197,Shanxi,娄烦县,山西省,23
140181,0.0092925332117285,197,Shanxi,古交市,山西省,41
140212,0.00886693472480494,197,Shanxi,新荣区,山西省,53
140213,0.00958211872239731,197,Shanxi,平城区,山西省,37
140214,0.0117970655291852,197,Shanxi,云冈区,山西省,19
140215,0.0102928209036756,197,Shanxi,云州区,山西省,33
140221,0.00780079447500337,197,Shanxi,阳高县,山西省,64
140222,0.0059593320964208,197,Shanxi,天镇县,山西省,89
140223,0.00712804216252106,197,Shanxi,广灵县,山西省,69
140224,0.00623698311963956,197,Shanxi,灵丘县,山西省,84
140225,0.0106538832819589,197,Shanxi,浑源县,山西省,28
140226,0.00605587366010897,197,Shanxi,左云县,山西省,86
140302,0.00454997109405063,197,Shanxi,城区,山西省,117
140303,0.00757306765085394,197,Shanxi,矿区,山西省,66
140311,0.00487323759894712,197,Shanxi,郊区,山西省,112
140321,0.00924836375880944,197,Shanxi,平定县,山西省,42
140322,0.00707565117665433,197,Shanxi,盂县,山西省,70
140403,0.0115277343348902,197,Shanxi,潞州区,山西省,22
140404,0.00488676585842713,197,Shanxi,上党区,山西省,109
140405,0.00530847788831606,197,Shanxi,屯留区,山西省,101
140406,0.00517869438535818,197,Shanxi,潞城区,山西省,102
140423,0.00916247982354275,197,Shanxi,襄垣县,山西省,45
140425,0.00552362508770474,197,Shanxi,平顺县,山西省,97
140426,0.00488383606162017,197,Shanxi,黎城县,山西省,110
140427,0.00572725161269279,197,Shanxi,壶关县,山西省,93
140428,0.00897756084744279,197,Shanxi,长子县,山西省,50
140429,0.00555237357993348,197,Shanxi,武乡县,山西省,96
140430,0.00599556859203525,197,Shanxi,沁县,山西省,88
140431,0.0148278732906102,197,Shanxi,沁源县,山西省,3
140502,0.0116974712516935,197,Shanxi,城区,山西省,20
140521,0.0115496726736655,197,Shanxi,沁水县,山西省,21
