panel,exposure_C,HR,lo,hi
a,-3.9474082650812,1.4669305202356,1.27095079194221,1.69313018634677
a,-3.72987910228892,1.46126573289599,1.26831630012494,1.68356863498932
a,-3.51234993949665,1.45562282104071,1.26563034814791,1.67413637025627
a,-3.29482077670437,1.45000170019407,1.262891129122,1.66483466554033
a,-3.0772916139121,1.44440228620659,1.26009681289145,1.65566482119063
a,-2.85976245111982,1.43882449525375,1.25724555211253,1.64662815840841
a,-2.64223328832754,1.43326824383476,1.2543354892062,1.63772601226901
a,-2.42470412553527,1.42773344877123,1.25136476421941,1.62895972383539
a,-2.20717496274299,1.42222002720602,1.24833152361815,1.62033063134005
a,-1.98964579995072,1.41672789660193,1.24523393002044,1.6118400604272
a,-1.77211663715844,1.41125697474051,1.24207017285973,1.60348931346463
a,-1.55458747436616,1.4058071797208,1.23883847994832,1.5952796579559
a,-1.33705831157389,1.40037842995811,1.23553712988657,1.58721231410665
a,-1.11952914878161,1.39497064418281,1.2321644652375,1.57928844162595
a,-0.901999985989336,1.3895837414391,1.22871890635802,1.57150912587102
a,-0.68447082319706,1.38421764108381,1.22519896574832,1.56387536347399
a,-0.466941660404782,1.37887226278517,1.22160326275123,1.55638804761892
a,-0.249412497612507,1.37354752652165,1.21793053840425,1.54904795316623
a,-0.0318833348202312,1.36824335258072,1.21417967022003,1.54185572184887
a,0.185645827972044,1.36295966155768,1.21034968664833,1.53481184778723
a,0.40317499076432,1.35769637435444,1.20643978095414,1.52791666358793
a,0.620704153556598,1.3524534121784,1.20244932423605,1.52117032730265
a,0.838233316348873,1.3472306965412,1.1983778773053,1.51457281052636
a,1.05576247914115,1.34202814925759,1.19422520115218,1.50812388790835
a,1.27329164193342,1.33684569244424,1.18999126574209,1.50182312833383
a,1.4908208047257,1.33168324851857,1.18567625690879,1.49566988800839
a,1.70834996751798,1.32654074019762,1.18128058114792,1.48966330564245
a,1.92587913031025,1.32141809049684,1.17680486815712,1.48380229988917
a,2.14340829310253,1.316315222729,1.17224997102028,1.4780855691385
a,2.3609374558948,1.31123206050299,1.167616963989,1.47251159371397
a,2.57846661868708,1.30616852772269,1.16290713787376,1.46707864046018
a,2.79599578147936,1.30112454858587,1.15812199311574,1.46178476964956
a,3.01352494427163,1.29610004758299,1.15326323066756,1.45662784408052
a,3.23105410706391,1.29109494949611,1.14833274086275,1.4516055401869
a,3.44858326985619,1.28610917939777,1.14333259049911,1.44671536093372
a,3.66611243264846,1.28114266264983,1.13826500839707,1.44195465023813
a,3.88364159544074,1.27619532490241,1.13313236972059,1.4373206086279
a,4.10117075823301,1.27126709209271,1.12793717936393,1.43281030983412
a,4.31869992102529,1.26635789044396,1.12268205471292,1.42842071800974
a,4.53622908381757,1.26146764646427,1.11736970808431,1.42414870526994
a,4.75375824660984,1.25659628694558,1.11200292913336,1.41999106926457
a,4.97128740940212,1.2517437389625,1.10658456749812,1.41594455051397
a,5.18881657219439,1.24690992987128,1.10111751592138,1.41200584926723
a,5.40634573498667,1.24209478730867,1.09560469405985,1.40817164167343
a,5.62387489777895,1.2372982391909,1.09004903315518,1.40443859509113
a,5.84140406057122,1.23252021371253,1.08445346170643,1.40080338239651
a,6.0589332233635,1.22776063934542,1.07882089224841,1.3972626951859
a,6.27646238615577,1.22301944483764,1.07315420930682,1.39381325580145
a,6.49399154894805,1.21829655921242,1.0674562585704,1.39045182814013
a,6.71152071174033,1.21359191176709,1.06172983729222,1.38717522723356
a,6.9290498745326,1.20890543207197,1.05597768590862,1.38398032761044
a,7.14657903732488,1.2042370499694,1.05020248084339,1.38086407047372
a,7.36410820011715,1.19958669557262,1.04440682844897,1.37782346974107
a,7.58163736290943,1.19495429926475,1.03859326002292,1.37485561701006
a,7.79916652570171,1.19033979169775,1.03276422782918,1.37195768551871
a,8.01669568849398,1.18574310379139,1.02692210204685,1.36912693317871
a,8.23422485128626,1.18116416673219,1.0210691685658,1.36636070476183
a,8.45175401407854,1.1766029119724,1.01520762754721,1.36365643332161
a,8.66928317687081,1.17205927122899,1.00933959266758,1.3610116409317
a,8.88681233966309,1.16753317648262,1.00346709096698,1.35842393882
a,9.10434150245536,1.16302455997661,0.997592063225669,1.35589102697462
a,9.32187066524764,1.15853335421592,0.99171636479743,1.3534106932933
a,9.53939982803992,1.15405949196618,0.9858417668326,1.35098081234308
a,9.75692899083219,1.14960290625264,0.979969957829189,1.3485993437922
a,9.97445815362447,1.14516353035918,0.974102545455654,1.34626433057032
a,10.1919873164167,1.14074129782732,0.968241058594295,1.34397389680829
a,10.409516479209,1.13633614245523,0.962386949559547,1.34172624560319
a,10.6270456420013,1.13194799829672,0.956541596450431,1.33951965664918
a,10.8445748047936,1.12757679966025,0.950706305601314,1.33735248377035
a,11.0621039675858,1.12322248110798,0.94488231409955,1.33522315238662
a,11.2796331303781,1.11888497745476,0.939070792342802,1.33313015694022
a,11.4971622931704,1.11456422376716,0.933272846612628,1.33107205830591
a,11.7146914559627,1.1102601553625,0.927489521644394,1.32904748120506
a,11.932220618755,1.10597270780789,0.921721803176713,1.32705511164024
a,12.1497497815472,1.10170181691925,0.915970620466393,1.32509369436452
a,12.3672789443395,1.09744741876036,0.910236848757387,1.32316203039677
a,12.5848081071318,1.09320944964191,0.904521311694394,1.32125897459246
a,12.8023372699241,1.08898784612051,0.898824783673746,1.3193834332773
a,13.0198664327163,1.0847825449978,0.89314799212581,1.31753436194944
a,13.2373955955086,1.08059348331944,0.887491619724674,1.31571076305452
a,13.4549247583009,1.07642059837422,0.881856306522069,1.31391168383658
a,13.6724539210932,1.0722638276931,0.876242652003568,1.31213621426679
a,13.8899830838854,1.06812310904825,0.870651217066026,1.31038348505103
c,,37.6465017165858,,
c,,53.5929126107405,,59.7687265718357
c,,21.796365833657,,
c,,34.6045706870449,,
c,,34.3397096105093,,
c,,51.3913824057451,,52.2937449008484
c,,24.5667618352035,,
c,,37.4111485222596,,
