panel,term,group,HR,lo,hi
b,hazard,Low effort (10th pct),0.000696251487798616,0.000450705199379509,0.0010755005472961
b,hazard,Median effort,0.00148187246281151,0.00113015916173798,0.00194293486137953
b,hazard,High effort (90th pct),0.00340048938992898,0.00233643545675077,0.00494792917507214
b,hazard,Low effort (10th pct),0.000721777661834677,0.000472474439142445,0.00110255425815309
b,hazard,Median effort,0.00151430434579891,0.00116140578490609,0.00197432675535514
b,hazard,High effort (90th pct),0.00342048391375627,0.00237153755973574,0.00493223776643437
b,hazard,Low effort (10th pct),0.000748239333458911,0.000495219577552719,0.00113045992575167
b,hazard,Median effort,0.00154744547456209,0.00119337792205998,0.00200645702975433
b,hazard,High effort (90th pct),0.00344059580024725,0.00240677833733916,0.00491738772260608
b,hazard,Low effort (10th pct),0.000775670761142933,0.000518973993643535,0.00115926214570594
b,hazard,Median effort,0.00158131133508643,0.00122607883078685,0.00203936042694697
b,hazard,High effort (90th pct),0.00346082573589279,0.00244211830303287,0.00490343210145705
b,hazard,Low effort (10th pct),0.000804107455968706,0.00054377061929789,0.00118900957804791
b,hazard,Median effort,0.00161591775040626,0.00125951025258386,0.00207307425716696
b,hazard,High effort (90th pct),0.00348117441117091,0.00247751352536274,0.0048904286667939
b,hazard,Low effort (10th pct),0.000833586227283023,0.000569641631713136,0.00121975543013042
b,hazard,Median effort,0.00165128088789346,0.00129367225898602,0.00210763858241458
b,hazard,High effort (90th pct),0.00350164252056928,0.00251291529518449,0.00487844022554684
b,hazard,Low effort (10th pct),0.000864145230003666,0.000596618097729262,0.00125155799632537
b,hazard,Median effort,0.00168741726670063,0.00132856309638341,0.00214309640253374
b,hazard,High effort (90th pct),0.00352223076260894,0.00254826980234968,0.00486753495558334
b,hazard,Low effort (10th pct),0.000895824013638524,0.000624729566597537,0.00128448125836522
b,hazard,Median effort,0.00172434376536312,0.00136417903295516,0.00217949384005955
b,hazard,High effort (90th pct),0.00354293983986675,0.00258351783479305,0.00485778671119652
b,hazard,Low effort (10th pct),0.000928663573077748,0.000654003608853371,0.00131859554911473
b,hazard,Median effort,0.00176207762956382,0.00140051421204168,0.0022168803195407
b,hazard,High effort (90th pct),0.00356377045899869,0.00261859451667945,0.00484927528961299
b,hazard,Low effort (10th pct),0.000962706401221758,0.000684465300687998,0.00135397828084527
b,hazard,Median effort,0.00180063648006157,0.00143756051724286,0.0022553087360756
b,hazard,High effort (90th pct),0.00358472333076354,0.00265342910642996,0.00484208663770169
b,hazard,Low effort (10th pct),0.000997996543511737,0.00071613665579795,0.00139071473652941
b,hazard,Median effort,0.0018400383207906,0.00147530745551983,0.00229483560680865
b,hazard,High effort (90th pct),0.003605799170046,0.0026879448798981,0.00483631297361209
b,hazard,Low effort (10th pct),0.00103457965442832,0.000749036010318727,0.00142889891906328
b,hazard,Median effort,0.00188030154712981,0.00151374206553723,0.00233552119817926
b,hazard,High effort (90th pct),0.00362699869588012,0.0027220591284024,0.00483205279363985
b,hazard,Low effort (10th pct),0.00107250305603079,0.000783177371319499,0.00146863444848078
b,hazard,Median effort,0.00192144495434965,0.00155284885930729,0.00237742962088983
b,hazard,High effort (90th pct),0.00364832263147386,0.00275568330524989,0.00482941073068499
b,hazard,Low effort (10th pct),0.00111181579860709,0.000818569745578701,0.00151003549100937
b,hazard,Median effort,0.00196348774623734,0.00159260980577447,0.00242062888398098
b,hazard,High effort (90th pct),0.00366977170423177,0.00278872335712721,0.004828497227926
b,hazard,Low effort (10th pct),0.00115256872351033,0.000855216472971931,0.00155322769622945
b,hazard,Median effort,0.00200644954390528,0.00163300436517277,0.00246519089921216
b,hazard,High effort (90th pct),0.00369134664577997,0.00282108027738792,0.00482942799068575
b,hazard,Low effort (10th pct),0.0011948145282592,0.000893114597568023,0.00159834910986267
b,hazard,Median effort,0.00205035039478696,0.0016740095826342,0.00251119142730161
b,hazard,High effort (90th pct),0.0037130481919897,0.00285265091574727,0.00483232318197635
b,hazard,Low effort (10th pct),0.00123860783398244,0.00093225431889099,0.00164555102038721
b,hazard,Median effort,0.00209521078182251,0.0017156002484755,0.00255870995862406
b,hazard,High effort (90th pct),0.0037348770830018,0.00288332907208067,0.00483730633403035
b,hazard,Low effort (10th pct),0.00128400525528927,0.000972618574741846,0.00169499868876544
b,hazard,Median effort,0.00214105163283918,0.00175774913072557,0.00260782952284211
b,hazard,High effort (90th pct),0.00375683406325089,0.00291300688989971,0.00484450296024319
b,hazard,Low effort (10th pct),0.00133106547265183,0.00101418281395449,0.00174687190362799
b,hazard,Median effort,0.00218789433013056,0.00180042728268581,0.00265863642470543
b,hazard,High effort (90th pct),0.00377891988149037,0.00294157654706606,0.00485403886997171
b,hazard,Low effort (10th pct),0.00137984930738844,0.00105691502042493,0.00180136530132358
b,hazard,Median effort,0.0022357607202379,0.00184360442469056,0.00271121990688883
b,hazard,High effort (90th pct),0.00380113529081649,0.00296893221759142,0.00486603821233833
b,hazard,Low effort (10th pct),0.00143041979933778,0.00110077604634495,0.00185868839368652
b,hazard,Median effort,0.00228467312393821,0.00188724939486595,0.00276567174510167
b,hazard,High effort (90th pct),0.00382348104869346,0.00299497225028067,0.00488062130328704
b,hazard,Low effort (10th pct),0.00148284228731965,0.0011457203005556,0.00191906525842778
b,hazard,Median effort,0.00233465434644353,0.00193133065888051,0.00282208578551324
b,hazard,High effort (90th pct),0.00384595791697828,0.00301960148015479,0.00489790231995635
b,hazard,Low effort (10th pct),0.00153718449247897,0.0011916968158856,0.00198273386914327
b,hazard,Median effort,0.00238572768781442,0.00197581686382986,0.00288055743938442
b,hazard,High effort (90th pct),0.0038685666619459,0.00304273356098217,0.00491798697404122
b,hazard,Low effort (10th pct),0.00159351660461371,0.00123865068746687,0.00204994507384604
b,hazard,Median effort,0.00243791695359386,0.00202067741703593,0.00294118315416558
b,hazard,High effort (90th pct),0.00389130805431437,0.00306429318661916,0.0049409702964448
b,hazard,Low effort (10th pct),0.00165191137159204,0.00128652483489622,0.0021209612700912
b,hazard,Median effort,0.00249124646566445,0.00206588306720767,0.00300405988364927
b,hazard,High effort (90th pct),0.00391418286927026,0.00308421805994852,0.00496693467443332
b,hazard,Low effort (10th pct),0.00171244419196415,0.00133526199991041,0.00219605486600949
b,hazard,Median effort,0.00254574107333416,0.0021114064636133,0.00306928458156652
b,hazard,High effort (90th pct),0.003937191886494,0.00310246047453533,0.00499594827617567
b,hazard,Low effort (10th pct),0.00177519321088171,0.00138480685518261,0.00227550665266929
b,hazard,Median effort,0.00260142616465486,0.00215722266902085,0.00313695374291123
b,hazard,High effort (90th pct),0.0039603358901853,0.00311898839692437,0.00502806397474531
b,hazard,Low effort (10th pct),0.00184023941943801,0.00143510807664793,0.00235960423643011
b,hazard,Median effort,0.00265832767797869,0.00220330960429338,0.00320716301514534
b,hazard,High effort (90th pct),0.00398361566908978,0.00313378597497505,0.00506331884619038
b,hazard,Low effort (10th pct),0.00190766675754828,0.00148612022754624,0.00244864068422268
b,hazard,Median effort,0.00271647211375681,0.00224964840655262,0.00328000689741303
b,hazard,High effort (90th pct),0.00400703201652364,0.00314685344498922,0.0051017342689178
b,hazard,Low effort (10th pct),0.00197756222049139,0.00153780531953929,0.00254291351756819
b,hazard,Median effort,0.002775886546585,0.00229622368834426,0.00335557854037372
b,hazard,High effort (90th pct),0.00403058573040083,0.00315820646077869,0.00514331660124623
b,hazard,Low effort (10th pct),0.0020500159692397,0.00159013395242635,0.00264272415503386
b,hazard,Median effort,0.00283659863750207,0.0023430236916383,0.00343396965286436
b,hazard,High effort (90th pct),0.00405427761325861,0.00316787491382087,0.00518805836798153
b,hazard,Low effort (10th pct),0.00212512144470634,0.00164308598240093,0.00274837785446047
b,hazard,Median effort,0.00289863664654455,0.0023900403370789,0.00351527051502043
b,hazard,High effort (90th pct),0.00407810847228385,0.00317590134894752,0.005235939851571
b,hazard,Low effort (10th pct),0.00220297548604431,0.00169665072019531,0.00286018415494282
b,hazard,Median effort,0.00296202944556434,0.00243726917495946,0.00359957009142597
b,hazard,High effort (90th pct),0.00410207911934002,0.00318233910071353,0.00528693096269139
b,hazard,Low effort (10th pct),0.00228367845313682,0.00175082670578308,0.00297845777328365
b,hazard,Median effort,0.00302680653131338,0.00248470924937994,0.00368695623288295
b,hazard,High effort (90th pct),0.00412619037099315,0.00318725028075151,0.00534099325996618
b,hazard,Low effort (10th pct),0.00236733435341907,0.00180562113889982,0.00310351987710344
b,hazard,Median effort,0.00309299803880136,0.00253236289057091,0.00377751595186249
b,hazard,High effort (90th pct),0.00415044304853929,0.00319070373782815,0.0053980819970989
b,hazard,Low effort (10th pct),0.0024540509731813,0.00186104906162043,0.00323569963987969
b,hazard,Median effort,0.003160634754931,0.00258023545231012,0.00387133575476184
b,hazard,High effort (90th pct),0.00417483797803087,0.00319277309359567,0.00545814809442957
b,hazard,Low effort (10th pct),0.00254394001350267,0.00191713239131219,0.00337533598116202
b,hazard,Median effort,0.00322974813241705,0.00262833501177762,0.00396850201367105
b,hazard,High effort (90th pct),0.00419937599030396,0.00319353493258479,0.00552113995637038
b,hazard,Low effort (10th pct),0.00263711723097337,0.00197389889279009,0.00352277940477019
b,hazard,Median effort,0.00330037030399477,0.00267667204833344,0.00406910136121519
b,hazard,High effort (90th pct),0.00422405792100566,0.00319306719897894,0.00558700508218313
b,hazard,Low effort (10th pct),0.00273370258336503,0.0020313811618774,0.00367839386447455
b,hazard,Median effort,0.0033725340969224,0.00272525911588484,0.00417322109385987
b,hazard,High effort (90th pct),0.00424888461062112,0.00319144782842051,0.00565569144184808
b,hazard,Low effort (10th pct),0.00283382038041569,0.00208961567311428,0.00384255860617766
b,hazard,Median effort,0.00344627304778422,0.00277411052109566,0.00428094957147873
b,hazard,High effort (90th pct),0.00427385690450133,0.00318875362264914,0.00572714860922763
b,hazard,Low effort (10th pct),0.00293759943990035,0.00214864192542752,0.00401566995462321
b,hazard,Median effort,0.00352162141760037,0.002823242017015,0.00439237660366021
b,hazard,High effort (90th pct),0.00429897565289072,0.00318505935912694,0.00580132866036953
b,hazard,Low effort (10th pct),0.00304517324916187,0.00220850170328479,0.00419814302901156
b,hazard,Median effort,0.00359861420724839,0.00287267051904316,0.0045075938158945
b,hazard,High effort (90th pct),0.00432424171095491,0.00318043711705551,0.00587818685555019
b,hazard,Low effort (10th pct),0.00315668013228299,0.00226923845818361,0.00439041338464796
b,hazard,Median effort,0.00367728717320248,0.00292241384770087,0.00462669499122559
b,hazard,High effort (90th pct),0.00434965593880876,0.00317495579480065,0.00595768213004044
b,hazard,Low effort (10th pct),0.00327226342308662,0.00233089680637921,0.00459293858677023
b,hazard,Median effort,0.00375767684359818,0.00297249050056714,0.00474977638506813
b,hazard,High effort (90th pct),0.00437521920154438,0.00316868079089561,0.0060397774214257
b,hazard,Low effort (10th pct),0.00339207164415456,0.00239352213311628,0.00480619972841012
b,hazard,Median effort,0.00383982053462661,0.00302291945403332,0.0048769370125944
b,hazard,High effort (90th pct),0.00440093236925943,0.00316167382057853,0.00612443986152955
b,hazard,Low effort (10th pct),0.00351625869206118,0.00245716029063869,0.00503070290721153
b,hazard,Median effort,0.0039237563672655,0.00307371999421635,0.00500827890941291
b,hazard,High effort (90th pct),0.00442679631708565,0.00315399284136675,0.0062116408594356
b,hazard,Low effort (10th pct),0.00364498402902469,0.00252185737619948,0.00526698067725051
b,hazard,Median effort,0.00400952328435433,0.00312491157543904,0.00514390736718917
b,hazard,High effort (90th pct),0.00445281192521729,0.00314569206379345,0.00630135609948768
b,hazard,Low effort (10th pct),0.0037784128811833,0.00258765957654483,0.00551559349173036
b,hazard,Median effort,0.00409716106801783,0.00317651370407823,0.00528393114647396
b,hazard,High effort (90th pct),0.00447898007894021,0.00313682202655374,0.00639356547502124
b,hazard,Low effort (10th pct),0.0039167164437085,0.00265461306638337,0.00577713115145373
b,hazard,Median effort,0.00418671035744678,0.00322854584523524,0.00542846266934427
b,hazard,High effort (90th pct),0.00450530166866014,0.00312742971856106,0.00648825297532785
b,hazard,Low effort (10th pct),0.00406007209297632,0.00272276394979909,0.00605221427260294
b,hazard,Median effort,0.00427821266704154,0.00328102734954938,0.00557761819460401
b,hazard,High effort (90th pct),0.00453177758993217,0.00311755873353004,0.00658540654023898
b,hazard,Low effort (10th pct),0.00420866360601724,0.00279215823515722,0.00634149578584353
b,hazard,Median effort,0.00437171040492479,0.00333397739749197,0.00573151797827198
b,hazard,High effort (90th pct),0.00455840874349012,0.00310724944553742,0.00668501789387765
b,hazard,Low effort (10th pct),0.00436268138747942,0.0028628418356127,0.00664566247726584
b,hazard,Median effort,0.00446724689183153,0.00338741495859729,0.00589028642196754
b,hazard,High effort (90th pct),0.00458519603527552,0.00309653919649744,0.0067870823666466
