level,group,term,b
Coracias garrulus,Long-distance,species,-0.0697981968410099
Coturnicops exquisitus,Resident,species,-0.192856655383471
Crex crex,Long-distance,species,-0.0536464558314998
Crossoptilon mantchuricum,Resident,species,-0.0453229060854097
Curruca curruca,Unknown,species,0.311004059572849
Cyanistes cyanus,Partial,species,-0.145979414363928
Cyanoderma pyrrhops,Resident,species,0.132669043863671
Cygnus cygnus,Unknown,species,0.158295727134008
Cygnus olor,Long-distance,species,0.0189672701285471
Cyornis glaucicomans,Resident,species,0.101149953394328
Cyornis hainanus,Partial,species,0.0726100168513184
Cyornis rubeculoides,Resident,species,-0.157050912391692
Delichon dasypus,Long-distance,species,-0.129095318103323
Dendrocitta formosae,Resident,species,-0.0818621682374408
Dendrocopos hyperythrus,Resident,species,-0.160379566197165
Dendrocygna javanica,Unknown,species,0.155555529097076
Dicaeum cruentatum,Unknown,species,0.159917417588644
Dicaeum ignipectus,Unknown,species,0.156286458479202
Dicaeum minullum,Unknown,species,0.16344198970026
Dicrurus annectens,Long-distance,species,0.0764614808650869
Dicrurus hottentottus,Resident,species,-0.0098893219093702
Dicrurus remifer,Resident,species,0.0723662742531677
Egretta eulophotes,Long-distance,species,-0.20118778651489
Egretta garzetta,Unknown,species,0.156891647197787
Elachura formosa,Resident,species,0.10540754698713
Elanus caeruleus,Partial,species,0.520235239611723
Emberiza buchanani,Long-distance,species,-0.0934493230712643
Emberiza citrinella,Partial,species,-0.108190043471735
Emberiza elegans,Partial,species,0.0535645700385444
Emberiza godlewskii,Partial,species,0.0171093061184604
Emberiza hortulana,Long-distance,species,-0.0770344283089735
Emberiza leucocephalos,Unknown,species,0.158832602775796
Emberiza pallasi,Long-distance,species,-0.193719748685334
Emberiza pusilla,Long-distance,species,-0.174533102227179
Emberiza rustica,Long-distance,species,-0.0826110618242552
Emberiza siemsseni,Long-distance,species,0.133656590359372
Emberiza yessoensis,Long-distance,species,0.103726342129551
Enicurus leschenaulti,Unknown,species,0.153981597017434
Enicurus maculatus,Resident,species,0.0851836216659847
Enicurus schistaceus,Resident,species,-0.081775874910158
Erpornis zantholeuca,Resident,species,0.0320950981007372
Erythrogenys hypoleucos,Resident,species,-0.0466517618314698
Eudynamys scolopaceus,Partial,species,0.203480720091245
Eumyias thalassinus,Resident,species,0.511533107278653
Falco cherrug,Long-distance,species,-0.0606361410243836
Falco severus,Long-distance,species,-0.18060534942575
Ficedula albicilla,Long-distance,species,-0.212774111148035
Ficedula elisae,Long-distance,species,0.155403492823191
Ficedula erithacus,Resident,species,0.0404070751955039
Ficedula hyperythra,Resident,species,0.052715114221646
Ficedula mugimaki,Long-distance,species,-0.149385553998433
Ficedula strophiata,Unknown,species,0.154432394461661
Ficedula superciliaris,Unknown,species,0.154906950489479
Ficedula tricolor,Resident,species,0.119195567920246
Fringilla coelebs,Partial,species,0.575526140122575
Fringilla montifringilla,Long-distance,species,-0.244391178623937
Galerida cristata,Resident,species,-0.10800361881667
Gallicrex cinerea,Partial,species,-0.0916536783699468
Garrulax maesi,Resident,species,-0.256548647667399
Garrulax monileger,Resident,species,0.139762283915636
Gavia arctica,Long-distance,species,0.174337831783613
Gelochelidon nilotica,Long-distance,species,0.0481234490357375
Geokichla citrina,Long-distance,species,0.0928563526932422
Glaucidium cuculoides,Unknown,species,0.161136564988469
Gorsachius melanolophus,Unknown,species,0.302156006671302
Gracupica nigricollis,Resident,species,0.347693880512283
Grandala coelicolor,Partial,species,-0.0339774121485784
Grus japonensis,Long-distance,species,-0.0536996035974993
Grus monacha,Unknown,species,0.148507082217282
Grus nigricollis,Long-distance,species,0.0214448849392199
Gypaetus barbatus,Partial,species,0.114113570925406
Gyps himalayensis,Resident,species,0.0315122022535297
Halcyon coromanda,Long-distance,species,-0.11822928636615
Halcyon pileata,Partial,species,-0.144825093112053
Halcyon smyrnensis,Partial,species,0.300695689347529
Haliaeetus leucoryphus,Unknown,species,-0.0897653691473057
Harpactes wardi,Resident,species,-0.151759374616925
Helopsaltes certhiola,Unknown,species,-0.128782192733463
Helopsaltes pryeri,Unknown,species,-0.070038738030569
Hemiprocne coronata,Unknown,species,0.158026337772019
Hemitesia pallidipes,Unknown,species,0.138176172590946
Hemixos castanonotus,Partial,species,0.0264505593767075
Heterophasia desgodinsi,Resident,species,-0.0543221969704922
Heteroxenicus stellatus,Partial,species,-0.0445435074052663
Hieraaetus pennatus,Long-distance,species,0.603022342720052
Hierococcyx nisicolor,Unknown,species,0.14976879574077
Hirundapus caudacutus,Long-distance,species,-0.105520757815656
Hirundo rustica,Long-distance,species,-0.141942755009932
Histrionicus histrionicus,Partial,species,0.0623396693014906
Hydrocoloeus minutus,Partial,species,-0.10704844148657
Hydrophasianus chirurgus,Partial,species,0.306657286333156
Hydroprogne caspia,Long-distance,species,0.00350424940690848
Hypothymis azurea,Unknown,species,0.151495121829294
Hypsipetes leucocephalus,Long-distance,species,-0.102398792225511
Ianthocincla lunulata,Unknown,species,-0.039585214084276
Ibidorhyncha struthersii,Partial,species,-0.0247550814043812
Ictinaetus malaiensis,Resident,species,0.0250885953332548
Iduna caligata,Unknown,species,0.153198150808266
Indicator xanthonotus,Resident,species,-0.161437066912193
Ixobrychus cinnamomeus,Unknown,species,0.149039014234873
Ixobrychus eurhythmus,Long-distance,species,-0.127933762062637
Ixobrychus minutus,Long-distance,species,-0.0397892683413896
Ixos mcclellandii,Resident,species,-0.0227133621965962
Ketupa flavipes,Resident,species,-0.104300969863286
Lalage melaschistos,Resident,species,-0.0922584431863987
Lanius borealis,Long-distance,species,-0.00225171627302937
Lanius collurioides,Partial,species,0.011171156501651
Lanius isabellinus,Long-distance,species,-0.0175580924910295
Lanius schach,Partial,species,0.0285761115480828
Lanius sphenocercus,Partial,species,-0.156111030180996
Lanius tephronotus,Long-distance,species,0.083602050855628
Larus crassirostris,Unknown,species,0.162202740386262
Larvivora brunnea,Long-distance,species,-0.14978918101951
Larvivora cyane,Long-distance,species,-0.062286560887704
Leptopoecile elegans,Resident,species,-0.0288372641021426
Leptoptilos javanicus,Partial,species,0.0187139389505851
Limnodromus semipalmatus,Long-distance,species,-0.0545022306335495
Limosa limosa,Long-distance,species,-0.156705738208834
Linaria cannabina,Resident,species,-0.0899778931647238
Locustella davidi,Long-distance,species,-0.178547834907439
Locustella mandelli,Partial,species,0.114482729814352
Lonchura striata,Resident,species,0.0416273127747283
Lophotriorchis kienerii,Resident,species,-0.203461645394506
Lophura leucomelanos,Resident,species,-0.283674574099618
Lophura nycthemera,Resident,species,0.0918761589211693
Loxia curvirostra,Partial,species,-0.157425395690353
Macropygia unchall,Resident,species,0.191415983112765
Mareca falcata,Long-distance,species,-0.047321503931554
Megaceryle lugubris,Resident,species,0.089817358356101
Melanitta fusca,Long-distance,species,0.0487863687198141
Melanitta stejnegeri,Long-distance,species,-0.086962180998917
Melanochlora sultanea,Resident,species,-0.0345019415114409
Mergus serrator,Long-distance,species,0.192384707094119
Merops philippinus,Unknown,species,0.144644243600763
Mixornis gularis,Resident,species,-0.0749740905265329
Monticola gularis,Long-distance,species,-0.155579754783981
Monticola rufiventris,Resident,species,-0.138728774165574
Monticola solitarius,Partial,species,-0.156257952527193
Motacilla citreola,Long-distance,species,-0.112296356949106
Moupinia poecilotis,Resident,species,-0.0719491950179297
Muscicapa dauurica,Long-distance,species,-0.131912683028121
Muscicapa ferruginea,Resident,species,0.0432421043380457
Muscicapa muttui,Long-distance,species,0.239504710270071
Mycerobas affinis,Partial,species,-0.0232356592062366
Mycerobas carnipes,Resident,species,-0.102583093972515
Myiomela leucura,Resident,species,-0.0731305410807843
Myophonus caeruleus,Resident,species,-0.248408272104049
Netta rufina,Partial,species,0.301453875483782
Niltava davidi,Long-distance,species,-0.113569543055005
Niltava grandis,Resident,species,-0.110294806733053
Niltava macgrigoriae,Unknown,species,0.151828149054726
Niltava sundara,Long-distance,species,-0.165766360351288
Ninox japonica,Long-distance,species,-0.121755532371696
Nipponia nippon,Resident,species,-0.0866860481966677
Nisaetus nipalensis,Resident,species,0.0237150354307389
Numenius madagascariensis,Long-distance,species,-0.296157266425176
Nycticorax nycticorax,Unknown,species,0.154534984449021
Oenanthe deserti,Unknown,species,0.268159139070598
Oenanthe oenanthe,Long-distance,species,-0.017123806621418
Onychoprion anaethetus,Partial,species,0.359434428214556
Oriolus oriolus,Unknown,species,0.0870832208542604
Otus lettia,Unknown,species,-0.0974041779960419
Otus semitorques,Partial,species,0.146088833557261
Otus spilocephalus,Resident,species,0.125245026517579
Oxyura leucocephala,Resident,species,0.0449486822086253
Panurus biarmicus,Partial,species,0.0330782252259199
Paradoxornis guttaticollis,Partial,species,-0.066176585768859
Paradoxornis heudei,Partial,species,0.174707309852967
Parayuhina diademata,Unknown,species,-0.0681668247155903
Pardaliparus venustulus,Resident,species,-0.0133815412750586
Parus monticolus,Resident,species,-0.170183161099448
Passer cinnamomeus,Resident,species,-0.0102878548984388
Passer domesticus,Resident,species,0.488128080542466
Passer hispaniolensis,Resident,species,0.172805212892268
Pelecanus crispus,Partial,species,-0.105931961324233
Pellorneum tickelli,Unknown,species,-0.106854871112122
Perdix hodgsoniae,Partial,species,0.0330722504452566
Pericrocotus cantonensis,Unknown,species,0.155662798519651
Pericrocotus divaricatus,Long-distance,species,-0.16615883165493
Pericrocotus ethologus,Long-distance,species,0.162954726277467
Pericrocotus solaris,Resident,species,0.0417377889195446
Periparus rubidiventris,Resident,species,-0.207083822226759
Pernis ptilorhynchus,Resident,species,-0.298341270456821
Phasianus colchicus,Resident,species,-0.298336571395785
Phoenicurus erythronotus,Long-distance,species,-0.01926792615298
Phoenicurus frontalis,Partial,species,0.0174556752755735
Phoenicurus leucocephalus,Resident,species,-0.225543722144131
Phoenicurus ochruros,Unknown,species,0.602668174912451
Phoenicurus schisticeps,Unknown,species,0.161086621758463
Phylloscopus affinis,Long-distance,species,0.0135894120354852
Phylloscopus burkii,Unknown,species,0.16376887516944
Phylloscopus cantator,Resident,species,0.161349265309342
Phylloscopus castaniceps,Partial,species,0.118072627419957
Phylloscopus claudiae,Partial,species,-0.132790191910682
Phylloscopus coronatus,Long-distance,species,-0.208342886291876
Phylloscopus emeiensis,Partial,species,-0.158512327303721
Phylloscopus intermedius,Partial,species,0.329089748071995
Phylloscopus magnirostris,Long-distance,species,-0.0906765252333543
Phylloscopus ogilviegranti,Partial,species,-0.0576982103667704
Phylloscopus omeiensis,Long-distance,species,-0.112343572890863
Phylloscopus pulcher,Resident,species,-0.108385861804259
Phylloscopus ricketti,Resident,species,0.11653082829896
Phylloscopus soror,Long-distance,species,0.207379122236732
Phylloscopus subaffinis,Unknown,species,0.148829125656823
Phylloscopus tenellipes,Long-distance,species,-0.0803142405644877
Phylloscopus tephrocephalus,Partial,species,0.450615112034368
Phylloscopus yunnanensis,Unknown,species,0.159928451395727
Picumnus innominatus,Resident,species,0.0241984237589193
Picus chlorolophus,Resident,species,-0.0305630451866597
Pitta nympha,Long-distance,species,0.058431351354724
Platalea minor,Partial,species,-0.0420377465391751
Pnoepyga immaculata,Resident,species,-0.118888840612973
Podiceps auritus,Unknown,species,0.0667450694654673
Podiceps grisegena,Long-distance,species,-0.0971016151152364
Podiceps nigricollis,Long-distance,species,0.00144026965756011
Podoces biddulphi,Partial,species,-0.0869659106449826
Pomatorhinus schisticeps,Resident,species,-0.028730863546695
Pomatorhinus superciliaris,Resident,species,-0.29710997818975
Prinia atrogularis,Resident,species,0.162109585302859
Prinia flaviventris,Resident,species,0.0803603762027093
Prinia inornata,Resident,species,-0.0883745243473563
Prunella collaris,Partial,species,-0.127198318825536
Prunella himalayana,Partial,species,-0.00781813851125669
Prunella immaculata,Partial,species,-0.111219641146098
Prunella montanella,Long-distance,species,0.0342675100871107
Prunella strophiata,Partial,species,0.0946261416535584
Psarisomus dalhousiae,Resident,species,-0.139953362841115
Pseudopodoces humilis,Partial,species,0.00368245321629605
Psilopogon faber,Resident,species,0.0543450138482225
Psilopogon virens,Resident,species,-0.113287339664953
Pterorhinus berthemyi,Unknown,species,-0.180249197032104
Pterorhinus lanceolatus,Unknown,species,-0.0562275878956499
Pterorhinus pectoralis,Unknown,species,-0.0870778842924746
Pterorhinus sannio,Unknown,species,-0.130788944807486
Pteruthius rufiventer,Resident,species,-0.158737661994604
Pteruthius xanthochlorus,Resident,species,0.235519746448736
Ptyonoprogne rupestris,Partial,species,0.0753051049338003
Pycnonotus aurigaster,Resident,species,-0.1449451402777
Pycnonotus jocosus,Resident,species,0.273895414287575
Pycnonotus sinensis,Long-distance,species,0.37252826511372
Pycnonotus xanthorrhous,Resident,species,-0.00207853163049301
Pyrrhula erythaca,Resident,species,-0.0870857813000851
Pyrrhula nipalensis,Resident,species,0.180580422289853
Rallina eurizonoides,Resident,species,0.0926242690109116
Rallus aquaticus,Partial,species,0.179598142543084
Recurvirostra avosetta,Partial,species,-0.149549651234607
Regulus regulus,Long-distance,species,-0.0228135005443599
Remiz consobrinus,Long-distance,species,0.281317651582661
Remiz coronatus,Long-distance,species,0.0962999327967187
Rhodospiza obsoleta,Partial,species,-0.082785060513024
Rubigula flaviventris,Resident,species,-0.170205564567505
Sasia ochracea,Resident,species,0.102092616105152
Saxicola ferreus,Unknown,species,0.157227787474675
Sitta cinnamoventris,Resident,species,-0.0801732202587516
Sitta formosa,Resident,species,-0.149086266746483
Sitta villosa,Resident,species,0.0346189892696404
Sittiparus varius,Resident,species,-0.180793434432951
Spilopelia chinensis,Resident,species,0.00407996581087842
Spilopelia senegalensis,Resident,species,-0.0394910082316876
Spilornis cheela,Resident,species,0.0639150616169578
Spinus spinus,Resident,species,-0.20574560860811
Spizixos semitorques,Resident,species,0.103762627101364
Spodiopsar cineraceus,Unknown,species,0.151291226056584
Spodiopsar sericeus,Partial,species,0.247469536922075
Stachyris humei,Resident,species,-0.171511809879278
Staphida torqueola,Unknown,species,-0.118116116832143
Streptopelia decaocto,Resident,species,-0.0962034330016868
Sturnia sinensis,Long-distance,species,-1.8488245782453e-05
Sturnus vulgaris,Partial,species,0.184482964563088
Suthora fulvifrons,Resident,species,-0.121026786775876
Syrmaticus humiae,Resident,species,-0.0351492268865049
Syrmaticus reevesii,Resident,species,-0.186461427919261
Syrrhaptes paradoxus,Partial,species,-0.256695336606531
Tarsiger chrysaeus,Partial,species,0.0983150489817867
Tarsiger indicus,Resident,species,-0.0935709834368223
Temnurus temnurus,Unknown,species,-0.249410944081694
Tephrodornis virgatus,Resident,species,-0.150763336709456
Thalasseus bergii,Long-distance,species,0.00667864669406069
Timalia pileata,Unknown,species,0.163411958600449
Tragopan caboti,Resident,species,-0.0646025753968406
Tragopan temminckii,Resident,species,-0.0965017057865755
Treron curvirostra,Resident,species,-0.0858103198190569
Treron sieboldii,Partial,species,0.132818805509454
Treron sphenurus,Partial,species,-0.100735079019059
Turdus boulboul,Partial,species,0.998650671836648
Turdus cardis,Long-distance,species,0.0369471386022773
Turdus feae,Long-distance,species,0.260307362406732
Turdus mandarinus,Resident,species,0.0130272127608788
Turdus pilaris,Long-distance,species,-0.071056170028629
Turdus rubrocanus,Resident,species,0.286531311779186
Turdus ruficollis,Long-distance,species,0.0670332913086912
Turdus viscivorus,Resident,species,0.329545304337858
Turnix suscitator,Unknown,species,0.290968150008936
Tyto longimembris,Unknown,species,0.163263727862725
Urile pelagicus,Unknown,species,-0.101125842492421
Urosphena squameiceps,Long-distance,species,-0.186276906156144
Vanellus cinereus,Long-distance,species,-0.278095734682688
Vanellus indicus,Unknown,species,0.159910616046055
Vanellus vanellus,Partial,species,-0.278346519755027
Yuhina nigrimenta,Resident,species,0.0801847449369416
Zoothera dixoni,Unknown,species,0.302807987286337
Zoothera mollissima,Resident,species,0.0316760869612424
Zoothera monticola,Resident,species,-0.0698521450985221
Zosterops erythropleurus,Long-distance,species,-0.186956657489312
Anhui,,province,0.260720544156162
Beijing,,province,0.0378043329088934
Chongqing,,province,-0.0560719570712979
Fujian,,province,-0.329420427920459
Gansu,,province,0.459798083262848
Guangdong,,province,-0.310736861480616
Guangxi,,province,0.270536379894647
Guizhou,,province,0.507348770268149
Hainan,,province,0.240447959653176
Hebei,,province,-0.310810609664022
Heilongjiang,,province,0.49566138943641
Henan,,province,0.182082330715742
Hubei,,province,0.0580868580301909
Hunan,,province,0.721081244561237
Inner Mongolia,,province,0.462234556930478
Jiangsu,,province,0.18020932779516
Jiangxi,,province,0.203252661979229
Jilin,,province,0.241275800954931
Liaoning,,province,0.171481017609902
Ningxia,,province,0.233467942193742
Qinghai,,province,0.217661782380363
Shaanxi,,province,0.412378211336566
Shandong,,province,0.164871202166497
Shanghai,,province,0.0229064142265928
Shanxi,,province,-0.276954684579988
Sichuan,,province,-0.240822822447894
Tianjin,,province,0.0582997486866465
Tibet,,province,0.442849732412849
Xinjiang,,province,-0.291022923178855
Yunnan,,province,-0.036025539414876
Zhejiang,,province,0.023107764105843
Anhui.2002,,province_year,-0.322545372963924
Beijing.2002,,province_year,0.268268208734817
Chongqing.2002,,province_year,-0.231601062219803
Fujian.2002,,province_year,-0.137300074778236
Gansu.2002,,province_year,-0.340571617247023
Guangdong.2002,,province_year,-0.179172896257352
Guangxi.2002,,province_year,0.211453102263477
Guizhou.2002,,province_year,-0.248818923592397
Hainan.2002,,province_year,-0.178772042943793
Hebei.2002,,province_year,-0.205070734985418
Heilongjiang.2002,,province_year,0.590559774552625
Henan.2002,,province_year,-0.245802853462949
Hubei.2002,,province_year,-0.291568875288744
Hunan.2002,,province_year,-0.459811703398095
Jiangsu.2002,,province_year,-0.314449210168135
Jiangxi.2002,,province_year,-0.230363377797726
Jilin.2002,,province_year,-0.237556037100533
Liaoning.2002,,province_year,0.192365539889717
Ningxia.2002,,province_year,0.319619012411422
Qinghai.2002,,province_year,-0.29537522936688
Shaanxi.2002,,province_year,0.00401279405756204
Shanghai.2002,,province_year,-0.243326089176547
Shanxi.2002,,province_year,-0.14611961123762
Sichuan.2002,,province_year,-0.321858658437234
Tianjin.2002,,province_year,0.354074748023834
Tibet.2002,,province_year,-0.343634191144857
Xinjiang.2002,,province_year,-0.197453218411731
Yunnan.2002,,province_year,-0.330968979313122
Zhejiang.2002,,province_year,0.215892763950921
Beijing.2003,,province_year,-0.182325585159565
Chongqing.2003,,province_year,-0.191769229677435
Fujian.2003,,province_year,-0.189641002094846
Guangdong.2003,,province_year,-0.17064299812568
Guangxi.2003,,province_year,-0.268299989449253
Hainan.2003,,province_year,-0.215804897142774
Hebei.2003,,province_year,-0.160029698744574
Henan.2003,,province_year,-0.243309495687612
Hubei.2003,,province_year,0.258185938385856
Hunan.2003,,province_year,-0.402398855130349
Inner Mongolia.2003,,province_year,-0.351929164433042
Jiangsu.2003,,province_year,-0.278622889044691
Jiangxi.2003,,province_year,0.731341425186229
Jilin.2003,,province_year,-0.259868863052809
Qinghai.2003,,province_year,-0.153469899212557
Shaanxi.2003,,province_year,-0.373683535114941
Shandong.2003,,province_year,-0.253448360787723
Shanghai.2003,,province_year,-0.23883937192745
Sichuan.2003,,province_year,-0.221989504573145
Tianjin.2003,,province_year,-0.163376202005935
Tibet.2003,,province_year,0.24242041120954
Xinjiang.2003,,province_year,-0.194406041417249
Yunnan.2003,,province_year,0.139136548989904
Zhejiang.2003,,province_year,-0.244316657686789
Anhui.2004,,province_year,-0.316484299919453
Beijing.2004,,province_year,0.299007929067379
Chongqing.2004,,province_year,-0.172664778674344
Fujian.2004,,province_year,0.344431703545935
Gansu.2004,,province_year,-0.344029295230083
Guangdong.2004,,province_year,-0.138485586698729
Guangxi.2004,,province_year,1.00185295037771
Guizhou.2004,,province_year,-0.304463025052063
Hainan.2004,,province_year,0.266821154232184
Hebei.2004,,province_year,0.336512780210213
Heilongjiang.2004,,province_year,-0.270015636501811
Henan.2004,,province_year,-0.289297510488526
Hunan.2004,,province_year,-0.410724580048271
Inner Mongolia.2004,,province_year,0.0762230859418642
Jiangsu.2004,,province_year,-0.316195132299611
Jiangxi.2004,,province_year,1.05331121369672
Jilin.2004,,province_year,-0.258459029388114
Liaoning.2004,,province_year,0.57233217082225
Qinghai.2004,,province_year,-0.305836272221442
Shaanxi.2004,,province_year,0.337270235879083
Shandong.2004,,province_year,-0.243769676396634
Shanghai.2004,,province_year,0.17923780911551
Sichuan.2004,,province_year,-0.254071672538551
Tibet.2004,,province_year,-0.418376158737009
Xinjiang.2004,,province_year,0.286456168019693
Yunnan.2004,,province_year,-0.271258284548355
Zhejiang.2004,,province_year,-0.28253214006369
Anhui.2005,,province_year,0.131823946338651
Beijing.2005,,province_year,0.309494926668507
Chongqing.2005,,province_year,-0.160160728060263
Fujian.2005,,province_year,-0.14921816913478
Gansu.2005,,province_year,-0.313183952665324
Guangdong.2005,,province_year,-0.154721978273701
Guangxi.2005,,province_year,1.23897474307604
Hainan.2005,,province_year,0.275256229964131
Hebei.2005,,province_year,-0.208759881235765
Heilongjiang.2005,,province_year,0.644471167553125
Henan.2005,,province_year,-0.285392113691539
Hubei.2005,,province_year,-0.277279157305639
Hunan.2005,,province_year,-0.369427964415509
Inner Mongolia.2005,,province_year,-0.32565121045392
Jiangsu.2005,,province_year,-0.318517300188144
Jiangxi.2005,,province_year,-0.240708242075875
Jilin.2005,,province_year,-0.245725373125228
Qinghai.2005,,province_year,-0.266117146226224
Shaanxi.2005,,province_year,0.37235855543332
Shandong.2005,,province_year,-0.232372944110695
Shanghai.2005,,province_year,0.131408647670349
Shanxi.2005,,province_year,-0.163569821751783
Sichuan.2005,,province_year,-0.253252659937556
Tianjin.2005,,province_year,0.37767337247212
Tibet.2005,,province_year,-0.362284716604834
Xinjiang.2005,,province_year,-0.232313146704417
Yunnan.2005,,province_year,-0.321020430754753
Zhejiang.2005,,province_year,-0.329249979076062
Anhui.2006,,province_year,0.452836142870832
Beijing.2006,,province_year,0.288648105963088
Chongqing.2006,,province_year,0.755401630917985
Fujian.2006,,province_year,0.437765200579482
Gansu.2006,,province_year,0.0860996443560109
Guangdong.2006,,province_year,-0.158160857125986
Guangxi.2006,,province_year,0.273554365293292
Guizhou.2006,,province_year,-0.267387210490599
Hainan.2006,,province_year,0.697409154495386
Hebei.2006,,province_year,-0.190626730890066
Heilongjiang.2006,,province_year,0.298093946870559
Henan.2006,,province_year,0.128715196343018
Hubei.2006,,province_year,-0.329601160712563
Hunan.2006,,province_year,0.0450472128329781
Inner Mongolia.2006,,province_year,-0.341740675069167
Jiangsu.2006,,province_year,0.512963832835831
Jiangxi.2006,,province_year,0.221407493845646
Jilin.2006,,province_year,0.29040628325092
Liaoning.2006,,province_year,0.253182774337592
Qinghai.2006,,province_year,0.239845601841022
Shaanxi.2006,,province_year,0.765176143210871
Shandong.2006,,province_year,-0.294254571721702
Shanghai.2006,,province_year,-0.342831206341636
Sichuan.2006,,province_year,-0.296429908803768
Tibet.2006,,province_year,-0.376484245780892
Xinjiang.2006,,province_year,-0.251731895884848
Yunnan.2006,,province_year,0.119535488097198
Zhejiang.2006,,province_year,-0.342271630927552
Anhui.2007,,province_year,0.789486452643909
Beijing.2007,,province_year,0.267179633470271
Chongqing.2007,,province_year,1.47783718726363
Fujian.2007,,province_year,-0.19407151591003
Gansu.2007,,province_year,0.00535071911186916
Guangdong.2007,,province_year,-0.163975313620334
