grid_id,province,warm_trend_dec,warm_delta_c,tmean_1980_2000,tmean_2002_2024
163,Yunnan,0.268522174304967,0.643737043159593,17.1178574562073,17.7615944993669
164,Yunnan,0.293544141095513,0.673464472002614,16.2384923582985,16.9119568303011
165,Yunnan,0.272046549361057,0.629606632383386,17.2095241130344,17.8391307454178
166,Yunnan,0.255884952277114,0.604227099770757,18.0722225204347,18.6764496202054
167,Yunnan,0.255884952277114,0.604227099770757,18.0722225204347,18.6764496202054
168,Guangxi,0.264953875939575,0.633764603534516,18.8325400390322,19.4663046425667
169,Guangxi,0.258465067880636,0.615545139714222,20.2920638530973,20.9076089928116
170,Guangxi,0.135276704071173,0.278019406533883,20.3111113820757,20.5891307886096
171,Guangxi,0.212318875363483,0.464837916889547,20.0710320132119,20.5358699301015
172,Guangxi,0.208706653531729,0.424499662848813,20.1682543262603,20.5927539891091
173,Guangxi,0.226317505382056,0.562077242971036,19.5277781221602,20.0898553651312
174,Guangxi,0.197452774998593,0.511783946374926,19.9853178149178,20.4971017612927
175,Guangxi,0.194587187281186,0.504261587388442,19.855159019667,20.3594206070554
176,Guangxi,0.210463365651977,0.532729571239141,20.6444447343312,21.1771743055703
177,Guangxi,0.250175687897137,0.557332679022583,20.6948415532945,21.2521742323171
178,Guangxi,0.23367368813717,0.445203559410171,18.655159023073,19.1003625824832
179,Guangxi,0.240283254316411,0.44644583810026,19.3908733148423,19.8373191529426
180,Guangxi,0.24616819805988,0.465510730911241,19.8091272740137,20.2746380049249
181,Guangxi,0.259189767381,0.530452114866062,19.5373018790805,20.0677539939466
182,Guangdong,0.265371099186403,0.544651429105247,18.9615082911083,19.5061597202135
183,Guangdong,0.253249879777562,0.513526543326996,20.8277781009674,21.3413046442944
184,Guangdong,0.25498462058391,0.493702507578487,21.2515876785157,21.7452901860942
185,Guangdong,0.267742631306603,0.552070382383469,20.6261908251142,21.1782612074976
186,Guangdong,0.197178326105412,0.373792295376955,20.9972225484394,21.3710148438163
187,Guangdong,0.27316645493254,0.568581769185034,21.3738098371597,21.9423916063447
188,Guangdong,0.266578844570518,0.541528660153585,20.7932542581407,21.3347829182943
189,Guangdong,0.295070259310354,0.602053121832668,20.7055559006948,21.3076090225275
190,Guangdong,0.268456318737595,0.539095965971846,21.08373044786,21.6228264138318
191,Guangdong,0.257290312528714,0.492598399201121,21.0726193549141,21.5652177541152
192,Yunnan,0.252371547407468,0.666149072930107,18.9392860427735,19.6054351157036
193,Yunnan,0.271958714469671,0.659334004213271,18.9134924676683,19.5728264718816
194,Yunnan,0.272848047705455,0.707418932184179,16.431349498885,17.1387684310692
195,Yunnan,0.286594208259565,0.732522379043928,16.7801590533484,17.5126814323923
196,Yunnan,0.290162513849764,0.727864085023699,15.9753971383685,16.7032612233922
197,Yunnan,0.266853314928701,0.66340577528343,16.5166669573103,17.1800727325937
198,Yunnan,0.287692147071915,0.681728822021672,15.7559526231554,16.4376814451771
199,Yunnan,0.29807860567531,0.70074185525408,16.57063522793,17.2713770831841
200,Yunnan,0.300241546563846,0.699102801154449,16.6603177748029,17.3594205759574
201,Yunnan,0.276723777195524,0.672860637214617,15.4996034588133,16.1724640960279
202,Yunnan,0.301756689199817,0.680848817976695,14.8202384104804,15.5010872284571
203,Yunnan,0.310024183415298,0.730969732345752,15.6730161394392,16.4039858717849
204,Yunnan,0.305906878524984,0.719271814765559,14.8075400061078,15.5268118208733
205,Yunnan,0.32329824345647,0.714389314644908,16.3011907244486,17.0155800390935
206,Yunnan,0.32329824345647,0.714389314644908,16.3011907244486,17.0155800390935
207,Guangxi,0.269521288354511,0.615803974097641,17.7015876391577,18.3173916132554
208,Guangxi,0.103469478021234,0.175931710469634,18.230952707548,18.4068844180176
209,Guizhou,0.111166017014675,0.203053848590415,18.7773812895729,18.9804351381634
210,Guangxi,0.134398339294161,0.28105596454494,18.6261907702401,18.907246734785
211,Guangxi,0.123506828730285,0.22460325336851,18.6253970918201,18.8500003451886
212,Guangxi,0.122496675753938,0.246601029706056,19.1849209751402,19.4315220048462
213,Guangxi,0.212439620866554,0.482798502476484,19.1103178016723,19.5931163041488
214,Guangxi,0.210693887937576,0.534972390197243,20.1519844456325,20.6869568358297
215,Guangxi,0.227536219800831,0.574033814187374,19.7611114467893,20.3351452609767
216,Guangxi,0.238493632212721,0.534178732673901,20.0611114634408,20.5952901961147
217,Guangxi,0.221651306736612,0.551604600262035,19.5857145861974,20.1373191864594
218,Guangxi,0.231192375098503,0.441787438363019,18.9944447449275,19.4362321832906
219,Guangxi,0.237417655081199,0.456021411818746,19.1182542925789,19.5742757043977
220,Guangxi,0.243796660861373,0.46285365383077,18.3813495125089,18.8442031663397
221,Guangxi,0.259189767381,0.530452114866062,19.5373018790805,20.0677539939466
222,Guangdong,0.265371099186403,0.544651429105247,18.9615082911083,19.5061597202135
223,Guangdong,0.251822554703915,0.510904047306521,20.091270174299,20.6021742216055
224,Guangdong,0.253590230728167,0.495186299106184,20.5345241872091,21.0297104863153
225,Guangdong,0.263910834811264,0.544082133666326,20.5638891855876,21.1079713192539
226,Guangdong,0.196453677859283,0.368288485817949,19.9396828621153,20.3079713479332
227,Guangdong,0.19870443269774,0.371480303274666,20.2404765401568,20.6119568434314
228,Guangdong,0.269268792817925,0.560541792521402,20.9996035061185,21.5601452986399
229,Guangdong,0.260628024579979,0.521273298869062,21.2845241190895,21.8057974179586
230,Guangdong,0.260518274026636,0.511490801106326,20.8261907100678,21.3376815111741
231,Guangdong,0.264328072664767,0.513423061601213,20.2456352445814,20.7590583061826
232,Fujian,0.219993420216825,0.436438972823282,19.6642860041724,20.1007249769957
233,Fujian,0.209464199039356,0.381159391297892,21.0250003413549,21.4061597326527
234,Yunnan,0.211451454962561,0.563561017962467,17.0523812770844,17.6159422950468
235,Yunnan,0.272848047705455,0.707418932184179,16.431349498885,17.1387684310692
236,Yunnan,0.286594208259565,0.732522379043928,16.7801590533484,17.5126814323923
237,Yunnan,0.293478260555444,0.744720507359165,15.7357145945231,16.4804351018823
238,Yunnan,0.27338603399383,0.681090425095777,14.9507939493845,15.6318843744803
239,Yunnan,0.293115941118032,0.696894400773006,15.519047911205,16.215942311978
240,Yunnan,0.298627577070924,0.731383693720078,14.9599209191307,15.6913046128508
241,Yunnan,0.292545013329308,0.717650083363512,15.6845241009243,16.4021741842878
242,Yunnan,0.300812506864192,0.658333430543616,15.0833335585064,15.7416669890501
243,Yunnan,0.300966191354633,0.731193973246404,14.2496034436756,14.980797416922
244,Yunnan,0.311725978899483,0.754796478483407,15.0115081734127,15.7663046518962
