prov_cn,prov_km2,pa_km2,year,frac_pa
360000,169215.433114737,3230.73536600534,2007,0.0190924391855838
430000,211565.974059089,7929.87307933957,2007,0.0374817978864825
530000,385468.898026504,14577.8899253588,2007,0.0378185892558223
520000,175616.831238234,3169.60807956554,2007,0.0180484299666345
350000,122346.250901022,2534.10798132153,2007,0.0207125920300706
450000,266663.798498258,5722.34309606667,2007,0.0214590174155344
440000,202775.329391037,1841.94223814765,2007,0.00908366044172761
460000,43080.9900364887,1368.55228206154,2007,0.0317669645219946
220000,191587.081583656,11943.8679159576,2007,0.0623417185398395
210000,145287.062854837,3014.27723490379,2007,0.0207470450270957
120000,11392.3898513189,408.287673193777,2007,0.0358386325013719
630000,695938.6544018,68541.491002119,2007,0.0984878344787938
610000,204998.319067571,11397.9098850304,2007,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2007,0.0779021035004299
500000,82385.4969649095,2405.84352875656,2007,0.0292022700279551
130000,186599.667718384,2663.93404864367,2007,0.014276199315982
310000,6182.81738595144,0,2007,0
110000,16197.1667597319,298.752132928851,2007,0.0184447155086151
710000,40903.8534422188,0,2007,0
810000,1288.62501088332,0,2007,0
510000,485131.529377545,51400.4479103409,2007,0.105951571476484
620000,421123.651133805,79999.6821001489,2007,0.189967202945651
820000,60.7617837309977,0,2007,0
230000,451084.570674823,23640.3757219935,2008,0.0524078571045502
650000,1627343.61964449,184031.921019977,2008,0.113087315302333
140000,155942.383568924,1431.00698769405,2008,0.00917651093271617
640000,51198.1261574061,6558.379734887,2008,0.1280980423917
540000,1198514.53429661,378786.405118118,2008,0.31604656787948
370000,155045.020700642,1937.30461577103,2008,0.0124951101752022
410000,163635.184918568,7965.88632088107,2008,0.0486807670663571
320000,100834.150894034,2540.41996704321,2008,0.0251940433327287
340000,141224.668324945,10125.6443005825,2008,0.071698835767731
420000,186164.909824594,4229.9527014774,2008,0.0227215360051628
330000,100488.309790717,848.044387789471,2008,0.00843923427068939
360000,169215.433114737,3230.73536600534,2008,0.0190924391855838
430000,211565.974059089,7929.87307933957,2008,0.0374817978864824
530000,385468.898026504,14577.8899253588,2008,0.0378185892558223
520000,175616.831238234,3169.60807956554,2008,0.0180484299666345
350000,122346.250901022,2534.10798132153,2008,0.0207125920300706
450000,266663.798498258,5722.34309606667,2008,0.0214590174155344
