species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,grid_id
Remiz coronatus,Inner Mongolia,2021,discovery_date,2021,2022,1,101.65,39.21,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,69.5799248543639,2387
Rhodospiza obsoleta,Shaanxi,2010,discovery_date,2010,2010,0,109.74,38.25,FALSE,FALSE,山西黑茶山,provincial,野生动物,2002,124.974237180643,2250
Sasia ochracea,Guangdong,2013,discovery_date,2013,2014,1,111.88,23.45,FALSE,FALSE,广东广宁鼋,local,野生动物,1990,66.5984452466122,144
Sasia ochracea,Hunan,2017,discovery_date,2017,2018,1,109.83,26.07,FALSE,FALSE,湖南黄桑,national,森林生态,1982,27.1906188513483,338
Saxicola ferreus,Tianjin,2019,discovery_date,2019,2019,0,117.63,39.07,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,9.41734087339818,2486
Sitta cinnamoventris,Tibet,2016,discovery_date,2016,2017,1,95.4,29.41,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,724
Sitta formosa,Tibet,2019,discovery_date,2019,2019,0,95.36,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,724
Sitta villosa,Heilongjiang,2005,discovery_date,2005,2006,1,126.66,45.74,FALSE,FALSE,团山子,local,森林生态,1998,58.5980467840502,3491
Sitta villosa,Shandong,2023,discovery_date,2023,2024,1,117.87,38.26,TRUE,TRUE,山东滨州贝壳堤岛与湿地国家级自然保护区,national,海洋海岸,1999,0,2342
Sittiparus varius,Shanghai,2012,discovery_date,2012,2013,1,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,
Spilopelia chinensis,Inner Mongolia,2004,discovery_date,2004,2006,2,111.72,40.81,FALSE,FALSE,内蒙古大青山,national,森林生态,1996,8.99021200278149,2704
Spilopelia chinensis,Jilin,2016,discovery_date,2016,2022,6,125.4,43.81,FALSE,FALSE,吉林伊通火山群国家级自然保护区,national,地质遗迹,1983,46.7169468739311,3295
Spilopelia senegalensis,Gansu,2020,discovery_date,2020,2023,3,97.11,40.47,FALSE,FALSE,甘肃安西极旱荒漠国家级自然保护区,national,荒漠生态,1987,76.2646030821408,2602
Spilornis cheela,Heilongjiang,2010,discovery_date,2010,2011,1,124.56,47.08,FALSE,FALSE,傲宝山水禽湿地,local,野生动物,1989,46.4324206945342,3555
Spilornis cheela,Shanghai,2015,discovery_date,2015,2018,3,121.97,30.89,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,23.3731302409304,
Spinus spinus,Xinjiang,2010,discovery_date,2010,2010,0,91.25,40.63,FALSE,FALSE,新疆罗布泊野骆驼国家级自然保护区,national,荒漠生态,1986,63.6427224268132,2670
Spizixos semitorques,Beijing,2019,discovery_date,2019,2022,3,116.33,39.94,FALSE,FALSE,北京百花山,national,森林生态,1985,51.9380136749735,2557
Spizixos semitorques,Hebei,2019,discovery_date,2019,2020,1,114.01,37.14,FALSE,FALSE,河北都山,provincial,森林生态,2001,18.4706558922287,2104
Spizixos semitorques,Shandong,2011,discovery_date,2011,2017,6,119.55,35.5,FALSE,FALSE,江苏云台山森林,provincial,森林生态,1981,92.3328247986643,
